Tous les mots.	preloaded/ententen21_tt31	[]	[tag="M.*"]
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]	[lemma="importe"][]
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]	[lemma="community"&tag="N.*"]
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]	[tag="N.*"]
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]	[tag="N.*"]
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]	[tag="N.*"][tag="PP.?"]
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]	[tag="J.*"][tag="J.*"]
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]	[tag="J.*"][lemma="ordinary"&tag="J.*"]
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]	[tag="DT"]
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]	[word="staffs"]
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]	[lemma="possession"]
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]	[tag="RB.?"]
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]	[tag="RB.?" & lemma="negative"]
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]	[tag="IN"]
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]	[tag="CC"]
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="subordination"&tag="V.*"][tag="DT|CD|PDT"]?[tag="N.*|PP.?"]
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]	[tag="ITJ"]
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]	[tag="Nombres"]
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]	[word="."]
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]	[word="virgule"]
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]	[word="interrogation"]
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]	[tag="VVN"]
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]	[tag="VVN"]
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]	[tag="V.*"][tag="DT"]?[tag="J.*"]?[tag="N.*|PP"][lemma="not"][tag="TO"]
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]	[lempos="indicate-v"]
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]	[tag="VVZ"]
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]	[tag="VVZ"]
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]	[tag="V.*"] 1,3
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]	[tag="VVZ"]
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]	[lemma="future"&tag="V.*"]
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]	[tag="V.*"][tag="IN"]
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]	[30,
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]	[0,3 containing [lemma="moment"]
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]	[word=".2"]
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]	[tag="N.*"][tag="[CNP].*Z"][tag="N.*"]
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="disturb"&tag="V.*"][tag="DT|CD|PDT"]?[tag="N.*|PP.?"][lemma="with"]
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]	[#161783939-16178974949]
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]	[word="hash"]
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]	[lemma="arobase.*"]
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]	[lemma="hex"]
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]	[lemma="tele-com"]
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]	[lemma=".*ment" & tag="N.*"]
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]	[lemma="being"]
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]	[lemma="have"]
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]	[lemma="faire"]
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]	[lemma="aller"]
Adjectif suivi d'un nom	preloaded/frtenten22_fl4	[tag="A.*"][tag="N.*"]	[tag="JJ"][tag="NN"]
Nom suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="N.*"][tag="A.*"]	[tag="N.*"][tag="J.*"]
Déterminant + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="N.*"]	[tag="DT"][tag="N.*"]
