Najdi lemmata končící na -nost	preloaded/cstenten23_mj2	[lemma=".*nost"]	[lemma=".*nost$"]
Najdi přesně středník	preloaded/cstenten23_mj2	[word==";"]	"\;"  // Escape syntax for ; in certain implementations
Pětipísmenná malá slova	preloaded/cstenten23_mj2	[word="[[:lower:]]{5}"]	[word="[[:lower:]]{5}" & !tag="Z:.*"]
Slova začínající na pře-	preloaded/cstenten23_mj2	[lc="pře.*"]	[word="[pP][řŘ][eE].*"]
Slova končící na -ový nebo -ová	preloaded/cstenten23_mj2	[word=".*ov[ýá]"]	[word=".*(ový|ová|oví|ovým|ovou|ovému|ových|ovými|ováho|OVÝ|OVÁ|ové)$" %cdi]
Lemmata začínající mikro- a končící -skop	preloaded/cstenten23_mj2	[lemma="mikro.*skop"]	"mikroskop"	(podstatné jméno)"mikroskóp"	(podstatné jméno, variantní zápis)"mikroelektroskop"	(technický termín)
Slovo začínající s velkým písmenem uvnitř věty, ne však na začátku	preloaded/cstenten23_mj2	[][word="[[:upper:]].+"] within <s/>	within <s/> [] [word="[A-ZÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ][^\\s]*"]
Tokeny s pomlčkou	preloaded/cstenten23_mj2	[word=".*-.*"]	[word=".*[-–—].*"]
Tokeny složené jen z číslic	preloaded/cstenten23_mj2	[word="\d+"]	[word="[0-9]+"]
Tokeny složené jen z interpunkce s více jak jedním znakem	preloaded/cstenten23_mj2	[word="[[:punct:]]{2,}"]	[word="[\\.,?!:;\"'\\-()\\[\\]{}]{2,}"]
Vlastní jména	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]	[tag="NP.*"]
Zájmena tázací/relativní	preloaded/cstenten23_mj2	[tag="k3.*" & word="kdo|co|který|jenž"]	[tag="P[45].*"]
Příslovce zakončená na -ě	preloaded/cstenten23_mj2	[word=".*ě" & tag="k6.*"]	> [lemma=".*ě" & pos="D.*"]>
Přídavná jména v 1. stupni	preloaded/cstenten23_mj2	[tag="k2.*d1.*"]	[tag="^A.....1"]
Přídavná jména v 2. stupni	preloaded/cstenten23_mj2	[tag="k2.*d2.*"]	[tag="AO.{3}2.*"]
Přídavná jména v 3. stupni	preloaded/cstenten23_mj2	[tag="k2.*d3.*"]	[lemma] [word="nej"]? [tag="ADJ" & degree="sup"]
Spojka "a"	preloaded/cstenten23_mj2	[word=="a" & tag="k8.*"]	[word="[aA]" & tag="J,.*"]
Slova ten, tento, tamhleten	preloaded/cstenten23_mj2	[word="ten|tento|tamhleten"]	[word="tamhleten"]
Pluralia v -i	preloaded/cstenten23_mj2	[word=".*i" & tag="k1.*nP.*"]	[tag="N.*" & number="plural"]   # Plural noun[lemma="v" & pos="R"]           # Preposition "v" (in)[tag="N.*" & word=".*i$"]       # Noun ending with "i"
Podstatná jména v 6. pádě	preloaded/cstenten23_mj2	[tag="k1.*c6.*"]	[tag="N..6....."]
Podstatná jména v 7. pádě	preloaded/cstenten23_mj2	[tag="k1.*c7.*"]	[tag="[N][^?][^?]{2}7"]
Tokeny s apostrofem	preloaded/cstenten23_mj2	[word=".*'.*"]	[word=".*['‘’].*"]
Měnové symboly Kč/€/$	preloaded/cstenten23_mj2	[word="Kč|€|\$"]	[word="CZK"] | [word="EUR"] | [word="USD"] |   [word="Kč"]  | [word="€"]   | [word="$"]
Domény končící na .cz	preloaded/cstenten23_mj2	[word=".*\.cz"]	// Match entire domain like 'example.cz' OR lone token like '.cz'[word=".*\\.[cC][zZ]"] // OR: Match 3+ part domains split as 'domain . cz'| ([word!~"\\.$"] [word="\\."] [word="[cC][zZ]"])
Hex barvy	preloaded/cstenten23_mj2	[word="#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})"]	"Hex barvy"      | ✅  "hex barvy"      | ✅  "HEX BARVY"      | ✅  "hEx BaRvY"      | ✅  "Nekvalitní hex barvy totiž ..."  | ✅
Uživatelská jména začínající @	preloaded/cstenten23_mj2	[word="@\w+"]	[word="^@.*" & tag="X"]  # If usernames have a specific POS tag
Hashtagy	preloaded/cstenten23_mj2	[word="#\w+"]	"#"[word="(?i)hashtagy"]  // Example: "#Hashtagy"
URL končící .pdf	preloaded/cstenten23_mj2	[word="https?://.+\.pdf"]	[word=".*\.[pP][dD][fF]$"]
Symbol © nebo ® jako c nebo r v závorkách	preloaded/cstenten23_mj2	[word=="("][word="[cCrR]"][word==")"]	(  [word="©"] |  [word="®"] |  [word="(?i)\\([cr]\\)"] |  // Single token like (c), (C), (r), (R)  (                               [word="("]     [word="[cCrR]"]    [word=")"]  )                         // Token sequence ( + c/C/r/R + ))
Římské číslice I–X	preloaded/cstenten23_mj2	[word="I|II|III|IV|V|VI|VII|VIII|IX|X"]	"[word="V"]?[word="I"]{1,3}"  // Matches V, VI, VII, etc.
Čísla s desetinnou tečkou	preloaded/cstenten23_mj2	[word="\d+\.\d+"]	([word="-"][word="\d*\.\d+"]) | [word="\d+\.\d+"]
Procenta s číslem	preloaded/cstenten23_mj2	[word="\d+(\.\d+)?%"]	[word="[0-9]+([,.][0-9]+)?"] [word="[Pp]rocenta"]
Název měsíce následovaný rokem	preloaded/cstenten23_mj2	[word="Leden|Únor|Březen|Duben|Květen|Červen|Červenec|Srpen|Září|Říjen|Listopad|Prosinec"][word="\d{4}"]	[word="ledna|leden|února|únor|března|..."] [word="[0-9]{4}"]
Den v týdnu následovaný čárkou	preloaded/cstenten23_mj2	[word="Pondělí|Úterý|Středa|Čtvrtek|Pátek|Sobota|Neděle"][word==","]	[word="[Pp]ondělí" | word="[Úú]terý" | word="[Ss]tředa" | word="[Čč]tvrtek" | word="[Pp]átek" | word="[Ss]obota" | word="[Nn]eděle"] [word=","]
Čas ve formátu HH:MM nebo HH.MM.	preloaded/cstenten23_mj2	[word="[012]?[0-9][:\.][0-5][0-9]"]	[word="(20|21|22|23|[0-1]\\d)[:.]([0-5]\\d)"]
