lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	[lemma_lc=".*ment"]
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	[word == ";" & tag = ":"]
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	[lc="^[a-z]{5}$"]
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	[lc="trans[^-].*"]
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	[lc="[a-z]+(?:able|ible)"]
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	[lemma_lc="^micro.*scope$"]
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	[word=".*[-—].*"]
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	[word="^[0-9]+$" & tag="CD"]
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	[tag="\"" | tag="(" | tag=")" | tag="," | tag=":" | tag="$" | tag="#" | tag="SENT"]
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	<doc genre="formal"> [tag="(MD|VB|VBD|...)"]
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	[tag="NN" | tag="NNS" | tag="NNZ" | tag="NNSZ"]
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	[tag="NP.*"]
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	[tag="WDT"]
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	[ws("%w", "verbs modified by \"%w\"", ".*") & tag="WRB"]
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	[tag="JJ"] []{0,3} [tag="V.*"]
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	[lemma="quick.*"]
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	[lc="and" & tag="CC"]
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	[ tag="DT" & word="(a|an|the)" ] [ ]
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	[tag="JJR" & lc=".*er"]
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	[tag="JJS" & !lemma="good|bad"]
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	[(pos="JJR" | pos="RBR") & lc!=".*er"]
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	[ (tag="JJS" | tag="RBS") & lc!=".*est" ]
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	[tag="NNS" & word!="jimmies" & word=".*ies"]
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	[tag="NNS" | tag="NPS"] [lc=".*s$"]
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	[lc=".*ed" & (tag="VVD" | tag="VBD" | tag="VHD")]
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	[tag="RB|RP" & word=".*n't"] within <s/>
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	[word="'.*" | word=".*'.*"]
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	[tag=="$"]
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	<doc topic="copyright"> [word="\(c\)"]
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	[tag="CD" & word="[0-9]*\\.[0-9]+"]
