lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	single token
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	single token
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	multi token
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	single token
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	multi token
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	single token
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	single token
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	single token
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	multi token
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	multi token
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	single token
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	single token
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	single token
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	single token
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	single token
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	single token
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	single token
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	single token
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	single token
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	single token
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	single token
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	single token
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	single token
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	single token
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	multi token
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	single token,structure
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	single token
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	single token
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	multi token
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	single token
numbers with percent sign	preloaded/ententen21_tt31	[word="\d+(\.\d+)?"][word="%"]	multi token
time like 7:30 pm	preloaded/ententen21_tt31	[word="[1-2]?\d:[0-5]\d"][word="am|pm|AM|PM"]	multi token
sentence starts with a quote	preloaded/ententen21_tt31	<s> [word="\"|“|‘|'"]	single token,structure
sentence ends with an exclamation mark	preloaded/ententen21_tt31	[word=="!"] </s>	single token,structure
tokens that are open parenthesis	preloaded/ententen21_tt31	[word=="("]	single token
tokens that are close parenthesis	preloaded/ententen21_tt31	[word==")"]	single token
bracketed content up to 7 tokens	preloaded/ententen21_tt31	[word=="("][]{0,7}[word==")"]	multi token
