Najdi lemmata končící na -nost	preloaded/cstenten23_mj2	[lemma=".*nost"]	single token
Najdi přesně středník	preloaded/cstenten23_mj2	[word==";"]	single token
Pětipísmenná malá slova	preloaded/cstenten23_mj2	[word="[[:lower:]]{5}"]	multi token
Slova začínající na pře-	preloaded/cstenten23_mj2	[lc="pře.*"]	single token
Slova končící na -ový nebo -ová	preloaded/cstenten23_mj2	[word=".*ov[ýá]"]	multi token
Lemmata začínající mikro- a končící -skop	preloaded/cstenten23_mj2	[lemma="mikro.*skop"]	single token
Slovo začínající s velkým písmenem uvnitř věty, ne však na začátku	preloaded/cstenten23_mj2	[][word="[[:upper:]].+"] within <s/>	multi token,structure
Tokeny s pomlčkou	preloaded/cstenten23_mj2	[word=".*-.*"]	single token
Tokeny složené jen z číslic	preloaded/cstenten23_mj2	[word="\d+"]	single token
Tokeny složené jen z interpunkce s více jak jedním znakem	preloaded/cstenten23_mj2	[word="[[:punct:]]{2,}"]	multi token
Vlastní jména	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]	multi token
Zájmena tázací/relativní	preloaded/cstenten23_mj2	[tag="k3.*" & word="kdo|co|který|jenž"]	single token
Příslovce zakončená na -ě	preloaded/cstenten23_mj2	[word=".*ě" & tag="k6.*"]	single token
Přídavná jména v 1. stupni	preloaded/cstenten23_mj2	[tag="k2.*d1.*"]	single token
Přídavná jména v 2. stupni	preloaded/cstenten23_mj2	[tag="k2.*d2.*"]	single token
Přídavná jména v 3. stupni	preloaded/cstenten23_mj2	[tag="k2.*d3.*"]	single token
Spojka "a"	preloaded/cstenten23_mj2	[word=="a" & tag="k8.*"]	single token
Slova ten, tento, tamhleten	preloaded/cstenten23_mj2	[word="ten|tento|tamhleten"]	single token
Pluralia v -i	preloaded/cstenten23_mj2	[word=".*i" & tag="k1.*nP.*"]	single token
Podstatná jména v 6. pádě	preloaded/cstenten23_mj2	[tag="k1.*c6.*"]	single token
Podstatná jména v 7. pádě	preloaded/cstenten23_mj2	[tag="k1.*c7.*"]	single token
Tokeny s apostrofem	preloaded/cstenten23_mj2	[word=".*'.*"]	single token
Měnové symboly Kč/€/$	preloaded/cstenten23_mj2	[word="Kč|€|\$"]	single token
Domény končící na .cz	preloaded/cstenten23_mj2	[word=".*\.cz"]	single token
Hex barvy	preloaded/cstenten23_mj2	[word="#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})"]	multi token
Uživatelská jména začínající @	preloaded/cstenten23_mj2	[word="@\w+"]	single token
Hashtagy	preloaded/cstenten23_mj2	[word="#\w+"]	single token
URL končící .pdf	preloaded/cstenten23_mj2	[word="https?://.+\.pdf"]	single token
Symbol © nebo ® jako c nebo r v závorkách	preloaded/cstenten23_mj2	[word=="("][word="[cCrR]"][word==")"]	multi token
Římské číslice I–X	preloaded/cstenten23_mj2	[word="I|II|III|IV|V|VI|VII|VIII|IX|X"]	single token
Čísla s desetinnou tečkou	preloaded/cstenten23_mj2	[word="\d+\.\d+"]	single token
Procenta s číslem	preloaded/cstenten23_mj2	[word="\d+(\.\d+)?%"]	single token
Název měsíce následovaný rokem	preloaded/cstenten23_mj2	[word="Leden|Únor|Březen|Duben|Květen|Červen|Červenec|Srpen|Září|Říjen|Listopad|Prosinec"][word="\d{4}"]	multi token
Den v týdnu následovaný čárkou	preloaded/cstenten23_mj2	[word="Pondělí|Úterý|Středa|Čtvrtek|Pátek|Sobota|Neděle"][word==","]	multi token
Čas ve formátu HH:MM nebo HH.MM.	preloaded/cstenten23_mj2	[word="[012]?[0-9][:\.][0-5][0-9]"]	multi token
Věta začínající uvozovkou	preloaded/cstenten23_mj2	<s> [word="\"|„|‚|“|’|'"]	single token,structure
Věta končící vykřičníkem	preloaded/cstenten23_mj2	[word=="!"] </s>	single token,structure
