lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	[lemma=".+ment"]
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	[word="several"]
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	[lc=".*5" & word=".*ly"] [word=".*" & word=".*ly"] [word=".*ly" & word=".*ly"]
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	[word="trans-.*"]
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	[word=".*able|.*ible"]
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	[lemma="micro-.*scope"]
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	[word=".*-.*"]
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	[word="CD"]
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	[word="."]
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	[tag="VVN"]
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	[tag="NN.*"]
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="disgruntle"&tag="V.*"][!tag="DT|CD|PDT|N.*|PP.?"][tag="IN"]?
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	[tag="WDT"]
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	[tag="WRB|WP|WZ|WDT"|lemma="how"][tag="V.*"]
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	[tag="JJ"]
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	[tag="RB.?"]
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	[word="and"]
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	[word="a|an|the"][tag="DT"][word="a|an"][tag="N.*"]
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	[word=".*er" & tag="JJR.*"]
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	[word=".*est" & tag="JJ"]
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	[lemma!=".*er" & tag="JJR"]
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	[word!=".*est" & tag="JJ"]
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	[word=".*ies" & tag="NNS"]
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	[word=".*s" & tag="NNS"]
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	[word=".*ed" & tag ="V.*"]
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	[word="n't"]
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	[word="'"]
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	[word="$"][word="£"][word="€"]
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	[tag="(c.*)|R.*))
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	[tag="CD"] [tag="NN"]
