Tous les mots.	preloaded/ententen21_tt31	[]	[]
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]	[]
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]	[pos="(NOUN|NC)" & !pos="PROPN"]
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]	[pos = "PROPN" & word = "[A-ZÉÈÀÇÂÔÎÙ].*"]   // Uppercase-first letter
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]	bash     QUERY [upos="NOUN" & Gender="Fem" & Number="Sing"];
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]	[upos="NOUN" & Gender="Masc" & Number="Plur"]
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]	[pos="ADJ|JJ.*"]  // Matches "ADJ", "JJ" (adjective), "JJS" (superlative), etc.
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]	[tag="^A.*" & word=".*(ième|ère|ier|nd|e)"]
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]	[word = "le" | word = "la" | word = "les" | word = "l'" | word = "un" | word = "une" | word = "des" | word = "du"]
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]	[pos="PRON"] [pos="PRON" & PronType="Prs"][pos="PRON" & Feature/PronType="Prs"]
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]	[lemma="le" & pos="DET"] [lemma=("mien"|"tien"|"sien"|"nôtre"|"vôtre"|"leur") & pos="PRON"]
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]	[tag="ADV"] [tag="VERB"]   // Adjacent adverb-verb sequence
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]	"ne" []{0,2} [lemma=("pas"|"plus"|"jamais") & pos="ADV"]
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]	[pos="ADP"] [pos="NOUN"]   // UD     // Example: "in London", "with friends"
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]	[word~"(?i)^(mais|ou|et|donc|or|ni|car)$" & pos="CCONJ"]
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]	[pos="SCONJ"] within s  // Shows full sentences
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]	[upos="INTJ"]
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]	// PROPER NOUNS (linguistic)[pos="PROPN" | tag="NP | NNP.*"] // GIVEN NAMES (named entities)[ner="PER" & word="\.?[A-ZÁÉÍÓÚ][a-záéíóú]+"]
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]	[pos="PUNCT" & word="[.?]"]   // Only '.' and '?'
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]	[word="[[:space:]]*,[[:space:]]*"]
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]	[word="[?]"]
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]	[pos="VB"]
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]	[pos = "VERB" & msd = "VerbForm=Part"]
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]	[word=".*ant" & tag="V.*"]
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]	[lemma="parler" & mood="Ind"] // Finds all indicative forms of "parler" (e.g., parle, parles, parlent)
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]	[lemma] [tag="V.*" & %ms="i" & %t="p"]
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]	[ tag="V.*(sub|sbj).*" ]
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]	// Universal dependency tagset (UD):[upos = "VERB" & feats.Mood = "Imp"]// Traditional MSD/morph tags (e.g., MULTEXT or similar):[msd = "V.*imper.*" & !lemma = ".*(être|avoir).*"]
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]	[tag="VB"] | [tag="VBP"] | [tag="VBZ"]
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]	([lemma="aller" & Tense="Pres"] [pos="VERB" & VerbForm="Inf"])
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]	[tag = "Vc.*"]
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]	[word="[A-Z]+" & !word=".*[a-zÀ-ÿ].*"]
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]	[word="^([a-zàâäéèêëîïôöùûüçæœ]|['’-])+$"]
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]	[word="^(?:[A-Z]{2,}|[A-Z](?:\\.[A-Z])+\\.?)$"]
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]	*(Combines digit match with Cardinal Number POS tag)*---**Note**: Tokenization affects results – this targets single-token numbers. Multi-token patterns (e.g., `1``
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]	[word~"[0-9]{1,3}(?:[.,\\s][0-9]{3})+"]
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]	[pos="NUM"] [word="pour"][word="cent"]   // If "cinq" is tagged as NUM
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]	[word="(?i)\#[^\\s\#]+"]
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]	[word="\@.*"] [word=".*"]
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]	"couleurs"[]?"hex"
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]	- Escape hyphens/diacritics** if required by your corpus tool (e.g., `téléphone` → `t\éléphone` in some dialects).  - Test in tools like **Sketch Engine**, **CQP**, or **NoSketch Engine**.  > 💡 *Remarque :* Adaptez l'encodage d'accents si nécessaire (UTF-8 requis).  > ℹ️ *Note:* CQL syntax may vary slightly between corpus analysis platforms.
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]	[lemma=".*ment$" & pos="ADV"]
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]	"ne" []{0,2} [lemma="être"] "pas"
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]	[lem="avoir"]
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]	
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]	[lemma="aller"]
