lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	[lemma=".*ment"]
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	[word=";"]
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	[lc="^[a-z]{5}$"]
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	[lemma="^trans.*"]
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	[word="^(.*)(able|ible)$"]
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	[lemma="^micro.*scope$"]
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	[word=".*\-.*"]
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	[tag="CD"] & [word="^\d+$"]
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	[tag="." | tag="," | tag=";" | tag="!" | tag="?" | tag=":" | tag="/" | tag="\(" | tag="\)" | tag="\[" | tag="\]" | tag="\{" | tag="\}" | tag="\*" | tag="\^" | tag="\_" | tag="\|" | tag="\~" | tag="\`" | tag="\=" | tag="\+" | tag="\$" | tag="\#" | tag="\@" | tag="\\\\"]
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	[tag="V[BDHPZ]"]
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	[tag="NN"]
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	[tag="NP|NPS|NPZ|NPSZ"]
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	[tag="WDT"]
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	[tag="WRB"]
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	[tag="JJ"]
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	[tag="RB"][lemma=".*ly"]
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	[tag="CC"]
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	[tag="DT"][lemma="a|an|the"]
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	[lemma=".*er"]
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	[lemma=".*est\."]
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	[tag="JJR" & lemma=".*[^e]r"]
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	[lemma=".*[^e]st" & tag="JJS"]
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	[tag="NNS" & lemma=".*ies\\$"]
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	[tag="NNS" & lemma=".*s"]
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	[tag="V[BDHZNV]" & lemma=".*ed$"]
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	[word="n't$"]
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	[word=".*'.*"]
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	[lemma="." & (tag="$" | tag="£" | tag="€")]
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	[word="\([A-Za-z]\)"]
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	[tag="CD"][tag=":"][tag="CD"]
numbers with percent sign	preloaded/ententen21_tt31	[word="\d+(\.\d+)?"][word="%"]	[word="^\d+%$|^\d+\.\d+%$"]
time like 7:30 pm	preloaded/ententen21_tt31	[word="[1-2]?\d:[0-5]\d"][word="am|pm|AM|PM"]	[word="\d{1,2}:\d{2} [ap]m"]
sentence starts with a quote	preloaded/ententen21_tt31	<s> [word="\"|“|‘|'"]	<s>[tag="\"]
sentence ends with an exclamation mark	preloaded/ententen21_tt31	[word=="!"] </s>	<s> [ ]* [tag="SENT"] </s>
tokens that are open parenthesis	preloaded/ententen21_tt31	[word=="("]	[word="("]
tokens that are close parenthesis	preloaded/ententen21_tt31	[word==")"]	[tag=")"]
bracketed content up to 7 tokens	preloaded/ententen21_tt31	[word=="("][]{0,7}[word==")"]	[ (word="[") | (word="[") | (word="{") ] [ ]{1,7} [ (word="]") | (word="}") | (word="}") ]
quoted spans up to 6 tokens	preloaded/ententen21_tt31	[word="\""][]{0,6}[word="\""]	[tag="\"][ ]{1,6}[tag="\"]
‘Mr.’ or ‘Ms.’ before a name	preloaded/ententen21_tt31	[word="Mr\.|Ms\.|Mrs\.|Dr\."][tag="NP"]	[word="Mr."|word="Ms."][tag="NP"]
personal pronoun followed by be	preloaded/ententen21_tt31	[tag="PP"][lemma="be"]	[tag="PP"][tag="VB|VBP|VBZ|VBD|VBG|VBN"]
proper noun followed by be	preloaded/ententen21_tt31	[tag="NP"][lemma="be"]	[tag="NP.*"][tag="V.*"]
noun preceded by exactly one adjective	preloaded/ententen21_tt31	[tag="J.*"][tag="N.*"]	[tag="JJ"][tag="N.*"]
noun preceded by two adjectives	preloaded/ententen21_tt31	[tag="J.*"]{2}[tag="N.*"]	[tag="JJ.*"] [tag="JJ.*"] [tag="N.*"]
noun preceded by 0–3 adjectives	preloaded/ententen21_tt31	[tag="J.*"]{0,3}[tag="N.*"]	[tag="JJ.*"]{0,3}[tag="NN.*"]
adverb immediately before an adjective	preloaded/ententen21_tt31	[tag="RB.*"][tag="J.*"]	[lemma=".*"] [tag="RB.*"][tag="JJ.*"]
adjective immediately before a verb	preloaded/ententen21_tt31	[tag="J.*"][tag="V.*"]	[tag="JJ.*"][tag="V.*"]
verb immediately before a noun	preloaded/ententen21_tt31	[tag="V.*"][tag="N.*"]	[tag="V.*"] [tag="N.*"]
determiner + adjective + noun	preloaded/ententen21_tt31	[tag="DT"][tag="J.*"][tag="N.*"]	[tag="DT"][tag="JJ.*"][tag="N.*"]
proper-noun bigrams	preloaded/ententen21_tt31	[tag="NP|NPS"]{2}	[tag="NP.*"][tag="NP.*"]
three-token proper-noun sequences	preloaded/ententen21_tt31	[tag="NP|NPS"]{3}	[tag="NP.*"][tag="NP.*"][tag="NP.*"]
noun-noun compounds of length 3	preloaded/ententen21_tt31	[tag="N.*"]{3}	<doc><s><p><g><g/>[tag="N.*"][tag="N.*"][tag="N.*"]</g></p></s></doc>
verb + particle (RP) with <3 gap	preloaded/ententen21_tt31	[tag="V.*"][]{0,2}[tag="RP"]	([tag="VB"]|[tag="VBD"]|[tag="VBG"]|[tag="VBN"]|[tag="VBP"]|[tag="VBZ"]|[tag="VH"]|[tag="VHD"]|[tag="VHG"]|[tag="VHN"]|[tag="VHP"]|[tag="VHZ"]|[tag="VV"]|[tag="VVD"]|[tag="VVG"]|[tag="VVN"]|[tag="VVP"]|[tag="VVZ"]) []{0,2} [tag="RP"]
verb + adverb + particle	preloaded/ententen21_tt31	[tag="V.*"][tag="RB.*"][tag="RP"]	[tag="VB|VBD|VBG|VBN|VBP|VBZ|VV|VVD|VVG|VVN|VVP|VVZ"][tag="RB|RBR|RBS"][tag="RP"]
be + not + adjective	preloaded/ententen21_tt31	[lemma="be"][lemma="not"][tag="J.*"]	[lemma="be"] [lemma="not"] [tag="JJ.*"]
do-support negation + base verb	preloaded/ententen21_tt31	[lemma="do"][lemma="not"][tag="V[BHV]"]	[lemma="do"][lemma="not"][tag="VV"]
want to + base verb	preloaded/ententen21_tt31	[lemma="want"][lemma="to"][tag="V[BHV]"]	[lemma="want"][tag="TO"][tag="VV"]{1}
need to + base verb	preloaded/ententen21_tt31	[lemma="need"][lemma="to"][tag="V[BHV]"]	[lemma="need"][tag="VV"]
plan to + base verb	preloaded/ententen21_tt31	[lemma="plan"][lemma="to"][tag="V[BHV]"]	[lemma="plan"][tag="TO|IN"][tag="VV"]
try to + base verb	preloaded/ententen21_tt31	[lemma="try"][lemma="to"][tag="V[BHV]"]	[lemma="try"][lemma="to"][tag="VV"]
be going to + base verb	preloaded/ententen21_tt31	[lemma="be"][lemma="going"][lemma="to"][tag="V[BHV]"]	[tag="VB"][tag="VBG"][tag="TO"][tag="VV"]
have to + base verb	preloaded/ententen21_tt31	[lemma="have"][lemma="to"][tag="V[BHV]"]	[lemma="have"][tag="TO"][tag="VV"]
