Tous les mots.	preloaded/ententen21_tt31	[]	[word="tous"]
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]	[]?  containing [lemma="n't"]
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]	[tag="N.*|N.*|N.*"]
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]	[tag="NN|NNS|NP|NPS"]
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]	[tag="N.*|N.*|N.*|N.*|N.*"]
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]	[tag="NNS?"]
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]	[tag="J.*"]
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]	[tag="JJ.*"]
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]	[tag="DT"]
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]	[tag="PPZ"]
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]	[tag="PP"][tag="RB"]{0,3}[tag="VH.*"] [tag="RB"]{0,3} [tag="V.*N|V.*D"]
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]	[tag="RB.?"]
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]	[tag="RB.?"&lemma=".*ly"]
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]	[tag="IN"]
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]	[tag="CC"]
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]	[tag="CC"][lemma="not"][tag="CC"]
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]	[tag="UH"]
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]	[lemma=".*ment" & tag="N.*"]
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]	[word=="."][word=="a"][word=="lot"][word=="of"][word=="people"]
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]	[word="."][word="is"][word="not"]
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]	[word=="."][word=="a"][word=="lot"][word=="of"][word=="people"]
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]	[tag="V.?"][word="a"][word="l"]
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]	[lempos="au-v"]
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]	[lemma="gerund" & tag="VBG"]
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]	[tag="V.*"][tag="RB.?"]
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]	[tag="VHD"][tag="NNS"][tag="V."]
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]	[lemma="au.*" & tag="V.*"]
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]	[lempos="impeller-v"]
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]	[word="present" & tag="VVZ"]
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]	[tag="VV.*" & lemma="autrui"]
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]	[lemma="conditionnel" & tag="V.*"]
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]	[word=".*majus.*"]
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]	[word=".*" & tag="N"]
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]	[word="[[:alpha:]].*"]{2,}
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]	[word="[[:alpha:]].*"]{4}
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]	[tag="N.*"][word="thousand"][tag="N.*"]
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]	[word="pour"] [word="a"] [word="fine"]
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="distress"&tag="V.*"][!tag="DT|CD|PDT|N.*|PP.?"]
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]	[lemma=".*able" & tag="RB.?"]
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]	[word=".*coucou.*"]
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]	[lemma="tele-"]
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]	[lemma="finast.*"]
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]	[lemma="be"]
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]	[lemma="avoir"]
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]	[lemma="faire"]
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]	[lemma="aller"]
Adjectif suivi d'un nom	preloaded/frtenten22_fl4	[tag="A.*"][tag="N.*"]	[tag="J.*"][tag="N.*"]
Nom suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="N.*"][tag="A.*"]	[tag="N.*"][tag="J.*"]
Déterminant + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="N.*"]	[tag="DT"][tag="N.*"]
Déterminant + adjectif + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="A.*"][tag="N.*"]	[tag="DT"][tag="J.*"][tag="N*."]
Préposition + déterminant + nom	preloaded/frtenten22_fl4	[tag="SP.*"][tag="D.*"][tag="N.*"]	[tag="IN"][tag="DT"][tag="N.*"]
Verbe + pronom clitique	preloaded/frtenten22_fl4	[tag="V.*"][tag="P.*"]	[tag="V.*"][tag="PP"][tag="DT"][tag="N.*"]
Négation avec ne et pas	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"][lemma!="pas" | tag!="RN"]{0,3}[lemma="pas" & tag="RN"] within <s/>	[lemma="neith"] [lemma="not"] [lemma="pas"][lemma="n't"]
Coordination nominale	preloaded/frtenten22_fl4	[tag="N.*"][word="et"][tag="N.*"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="distress"&tag="V.*"][!tag="DT|CD|PDT|N.*|PP.?"]
Séquence de trois noms	preloaded/frtenten22_fl4	[tag="N.*"]{3}	[tag="N.*"][tag="N.*"][tag="N.*"]
Adverbe suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="R.*"][tag="A.*"]	[tag="RB.?"][tag="J.*"]
Deux adjectifs consécutifs	preloaded/frtenten22_fl4	[tag="A.*"][tag="A.*"]	[tag="JJ.*"] [tag="JJ.*"]
Phrases finissant par un point d'interrogation	preloaded/frtenten22_fl4	[word=="?"] </s>	"finit" "un" "point" "of" "question"
Phrases finissant par un point d'exclamation	preloaded/frtenten22_fl4	[word=="!"] </s>	"finit" "un" "point" "of" "luck" "that"
Phrases d'un seul mot	preloaded/frtenten22_fl4	<s> [] [tag="F[^z].*"] </s>	[word="d'un seul"]
Première position de la phrase	preloaded/frtenten22_fl4	<s> []	[word=="on"] [word=="the"] [word=="other"] [word=="hand"]
Phrases sans verbe	preloaded/frtenten22_fl4	<s/> !containing [tag="V.*"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="distress"&tag="V.*"][!tag="DT|CD|PDT|N.*|PP.?"]
Phrases contenant un nombre	preloaded/frtenten22_fl4	<s/> containing [tag="Z.*"]	[word="un"] [word="nombre"]
Documents du domaine gouv.fr	preloaded/frtenten22_fl4	<doc urldomain=".*\.gouv\.fr" />	[lemma=".*gouv.fr"]
Documents en .fr	preloaded/frtenten22_fl4	<doc tld="fr" />	[word="en.fr"]
Titres contenant rapport	preloaded/frtenten22_fl4	<doc title=".*rapport.*" />	[word="rapport"]
Articles de presse	preloaded/frtenten22_fl4	<doc genre="news" />	[tag="DT"][word="deprese"]
Documents publiés en 2020	preloaded/frtenten22_fl4	<doc crawl_year="2020" />	[word=".\star"]{0,2}[lemma="book"&tag="N.*"]
Paragraphes contenant un nombre	preloaded/frtenten22_fl4	<p/> containing [tag="Z.*"]	[word="un.................................."]
Paragraphes sans nom propre	preloaded/frtenten22_fl4	<p/> !containing [tag="NP.*"]	[word="paragraphemate" & tag="N.*"]
Phrases contenant des guillemets	preloaded/frtenten22_fl4	<s/> containing [tag="Fra|Frc|Fe"]	[word="des"] [word="guillemets"]
Nom à +-3 tokens d'un verbe	preloaded/frtenten22_fl4	(meet [tag="N.*"] [tag="V.*"] -3 3)	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="distress"&tag="V.*"][!tag="DT|CD|PDT|N.*|PP.?"]
Union de noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))	(meet [] [word="being"] 0 4) (meet [] [word="being"] 0 4)
Noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))	(meet [] "be" 0 3) (meet [] "resemble" 0 3)
Répétition immédiate du même mot	preloaded/frtenten22_fl4	1:[] 2:[] & 1.word = 2.word	[word=".*"] [word=".*"] [word=".*"] [word=".*"] [word=".*"] [word=".*"]
Répétition immédiate du même lemma	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	[lemma=".*"] [lemma=".*"] [lemma=".*"] [lemma=".*"] [lemma=".*"]
Deux tokens consécutifs avec même lemme	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	[lemma="same"][lemma="even"]
Deux tokens adjacents avec même tag	preloaded/frtenten22_fl4	1:[] 2:[] & 1.tag = 2.tag	[word=".*" & word="same" & tag="IN"] [word=".*" & word="same" & tag="IN"]
Deux adjectifs coordonnés avec même lemme	preloaded/frtenten22_fl4	1:[tag="A.*"] [tag="CC.*"] 2:[tag="A.*"] & 1.lemma = 2.lemma	[tag="J.*"][lemma="same"]
Séquences de points de suspension	preloaded/frtenten22_fl4	[tag="Fs"]	[tag="N.*|PP.?"][tag="V.*"]?[tag="V.*"]?[tag="V.*"]?[tag="V.*"]?[tag="V.*"]?[tag="V.*"][!tag="N.*|PP.?"][tag="IN"]
Guillemets français ouvrants	preloaded/frtenten22_fl4	[word="«"]	[word="guillemets"][word="franc"]
Guillemets français fermants	preloaded/frtenten22_fl4	[word="»"]	[word="guillemets|fencetes"]
Parenthèses ouvrante et fermante	preloaded/frtenten22_fl4	[word="\(|\)"]	[word=".*" & tag="CD"] [word=".*" & tag="NNS"] [word=".*" & tag="V.*"]
Text au parenthèses ouvrante et fermante	preloaded/frtenten22_fl4	[word=="("] []{0,5} [word==")"]	[word="au|an|the|my|your|his|her|his|our|their|his|her|his|our|their|my|your|his|her"]
Adjectifs féminins pluriels	preloaded/frtenten22_fl4	[tag="A..FP.*"]	[tag="J.*"][word="fetish"]
Déterminants masculins singuliers	preloaded/frtenten22_fl4	[tag="D..MS.*"]	[word="male|male"][word="person|people|man|woman|men|women|menn"]
Pronoms relatifs pluriels	preloaded/frtenten22_fl4	[tag="PR..P.*"]	[tag="PP.?"]
Pronoms personnels 3e personne	preloaded/frtenten22_fl4	[tag="PP3.*"]	[word="3e|40|50|60|70|80|90|100|110|111|121|131|141|242|343|442|543|644|742|803|904"]
