Tous les mots.	preloaded/ententen21_tt31	[]	[lemma="mots"]
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]	[ ]
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]	[tag="N.C.*"]
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]	[tag="N.P.*"]
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]	[tag="N.*F.S.*"]
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]	[tag="N.CM.P.*"]
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]	[tag="A.Q.*"]
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]	[tag="A.O.*"]
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]	[tag="D.A.*"] & [lemma_lc="article.*"]
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]	[tag="P.P.*"]
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]	[tag="P.X.*"]
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]	[tag="R.G.*"]
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]	[tag="R.N.*"]
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]	[tag="S.P.*"]
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]	[tag="C.C.*"]
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]	[tag="C.S.*"]
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]	[tag="I.*"]
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]	[tag="N.*"]
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]	[tag="Fp"]
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]	[tag="Fc"]
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]	[tag="Fi"]
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]	[tag="V.N.*"]
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]	[tag="V.*P.*"]
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]	[tag="V.*G.*"]
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]	[tag="V.I.*"]
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]	[tag="V.M.I.P.*"]
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]	[tag="V.*S.*"]
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]	[tag="V..M.*"]
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]	[tag="V.*P.*"]
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]	[tag="V..F.*"]
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]	[tag="V.*C.*"]
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]	[word="^[A-Z]+$"]
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]	[word=lc]
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]	[word="[A-Z]{2,}"]
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]	[tag="Z.d4.\d{4}"]
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]	[word="\d+ \d+"] & [tag="N.*"]
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]	[word=".*%"] | [lc="pour cent"] | [lc="pourcent"]
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]	[tag="Ith"]
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]	[word="@.*"]
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]	[lemma="couleurs"] [word="\#[A-Fa-f0-9]{6}"]
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]	[lemma="télé.*"]
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]	[lemma=".*ment$"]
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]	[lemma="être"]
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]	[lemma="avoir"]
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]	[lemma="faire"]
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]	[lemma="aller.*"]
Adjectif suivi d'un nom	preloaded/frtenten22_fl4	[tag="A.*"][tag="N.*"]	[tag="A.*"] [tag="N.*"]
Nom suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="N.*"][tag="A.*"]	[tag="N.*"][tag="A.*"]
Déterminant + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="N.*"]	[tag="D.*"][tag="N.*"]
Déterminant + adjectif + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="A.*"][tag="N.*"]	[tag="D.*"][tag="A.*"][tag="N.*"]
Préposition + déterminant + nom	preloaded/frtenten22_fl4	[tag="SP.*"][tag="D.*"][tag="N.*"]	[tag="S.P.*"][tag="D.*.*"][tag="N.*.*.*"]
Verbe + pronom clitique	preloaded/frtenten22_fl4	[tag="V.*"][tag="P.*"]	[tag="V.*"][tag="P.X.*"]
Négation avec ne et pas	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"][lemma!="pas" | tag!="RN"]{0,3}[lemma="pas" & tag="RN"] within <s/>	[lemma="ne"] [tag="V.*|Adv.*|PP.*"]{0,1} [tag="V.*|Adv.*|PP.*"] [lemma="pas"] [tag="V.*|Adv.*|PP.*"]{0,1}
Coordination nominale	preloaded/frtenten22_fl4	[tag="N.*"][word="et"][tag="N.*"]	[tag="N.*"] [tag="C.*"] [tag="N.*"]
Séquence de trois noms	preloaded/frtenten22_fl4	[tag="N.*"]{3}	[tag="N.*"] [tag="N.*"] [tag="N.*"]
Adverbe suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="R.*"][tag="A.*"]	[tag="R.*"][tag="A.*"]
Deux adjectifs consécutifs	preloaded/frtenten22_fl4	[tag="A.*"][tag="A.*"]	[tag="A.*"][tag="A.*"]
Phrases finissant par un point d'interrogation	preloaded/frtenten22_fl4	[word=="?"] </s>	<s/> containing [tag="Fq"]
Phrases finissant par un point d'exclamation	preloaded/frtenten22_fl4	[word=="!"] </s>	[tag="Fat"] </s>
Phrases d'un seul mot	preloaded/frtenten22_fl4	<s> [] [tag="F[^z].*"] </s>	[word]
Première position de la phrase	preloaded/frtenten22_fl4	<s> []	[lemma="refill"] within <s/>
Phrases sans verbe	preloaded/frtenten22_fl4	<s/> !containing [tag="V.*"]	[tag="^[^V]"]{.*}
Phrases contenant un nombre	preloaded/frtenten22_fl4	<s/> containing [tag="Z.*"]	[tag="Z.*"]
Documents du domaine gouv.fr	preloaded/frtenten22_fl4	<doc urldomain=".*\.gouv\.fr" />	<doc url=".*gouv\.fr.*">
Documents en .fr	preloaded/frtenten22_fl4	<doc tld="fr" />	<doc lang="fr">
Titres contenant rapport	preloaded/frtenten22_fl4	<doc title=".*rapport.*" />	<p heading=".*">[lemma="rapport"]</p>
Articles de presse	preloaded/frtenten22_fl4	<doc genre="news" />	<doc genre="presse"> </doc> *
Documents publiés en 2020	preloaded/frtenten22_fl4	<doc crawl_year="2020" />	<doc date="2020-.*"/>
Paragraphes contenant un nombre	preloaded/frtenten22_fl4	<p/> containing [tag="Z.*"]	<p/> containing [tag="Z.*"]
Paragraphes sans nom propre	preloaded/frtenten22_fl4	<p/> !containing [tag="NP.*"]	<p/> !containing [tag="N.P.*"]
Phrases contenant des guillemets	preloaded/frtenten22_fl4	<s/> containing [tag="Fra|Frc|Fe"]	[tag="Fg"] | [tag="Ff"]
Nom à +-3 tokens d'un verbe	preloaded/frtenten22_fl4	(meet [tag="N.*"] [tag="V.*"] -3 3)	(meet [tag="V.*"] [tag="N.*"] -3 3)
Union de noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))	(meet [lemma="être"] ([tag="A.*"] [tag="N.*"]) -2 2) | (meet [lemma="être"] [tag="A.*"] -2 2)
Noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))	(meet ([tag="N.*"] | [tag="A.*"]) [lemma="être"] -5 5)
Répétition immédiate du même mot	preloaded/frtenten22_fl4	1:[] 2:[] & 1.word = 2.word	1:[] 2:[] & 1.word = 2.word
Répétition immédiate du même lemma	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	1:[lemma="x"] 2:[lemma="x"]
Deux tokens consécutifs avec même lemme	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	1:[lemma=".*"] 2:[lemma=".*"] & 1.lemma = 2.lemma
Deux tokens adjacents avec même tag	preloaded/frtenten22_fl4	1:[] 2:[] & 1.tag = 2.tag	1:[] 2:[] & 1.tag = 2.tag
Deux adjectifs coordonnés avec même lemme	preloaded/frtenten22_fl4	1:[tag="A.*"] [tag="CC.*"] 2:[tag="A.*"] & 1.lemma = 2.lemma	[tag="A.*"] [tag="C.*"] [tag="A.*"] & 1.lemma = 3.lemma
Séquences de points de suspension	preloaded/frtenten22_fl4	[tag="Fs"]	[tag="Fat"] [tag="Fat"]{+}
Guillemets français ouvrants	preloaded/frtenten22_fl4	[word="«"]	[word="«"]
Guillemets français fermants	preloaded/frtenten22_fl4	[word="»"]	[word="[»›]"]
Parenthèses ouvrante et fermante	preloaded/frtenten22_fl4	[word="\(|\)"]	[tag="Sop"] | [tag="Scl"]
