Tous les mots.	preloaded/ententen21_tt31	[]	[tag!="SENT" & tag!="SYM" & tag!="\"" & tag!="," & tag!=":" & tag!="$" & tag!="#" & tag!="(" & tag!=")" & !tag=""]
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]	[]
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]	[tag="N\\.C.*"]
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]	[tag="NP.*"]
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]	[pos="noun" & tag!=".*M.*"]
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]	[lemma="livre" & tag="N.*MP.*"]
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]	[tag="AQ....."]
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]	[lemma="premier" & tag="AO.F.*"]
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]	[tag="DA.*"] [tag="N.*"] within <s/>
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]	[tag="PP.*"] [tag="V.*"]
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]	[tag="P.X.*.F.P"]
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]	[lemma="rapide" & tag="RG.*"]
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]	[tag="R.N"]
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]	[lemma="à"][lemma="le"]
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]	[lemma="et" & tag="CC"]   [word="mais"]
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]	[lempos=".*-c" & tag="CS.*"]
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]	[tag=="I"]
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]	[lempos=".*-m"]
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]	[tag="Fp"] | [tag="Fat"] | [tag="Fit"]
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]	[tag="Fc"] within (<s/> containing [tag="Fit"])
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]	[tag="Fit"]
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]	<doc />
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]	[tag="V..P"]
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]	[tag="V..G.*"] within <s/>
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]	[lemma="parler" & tag="^V.[I].*"]
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]	[tag="V.*"]
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]	[lemma="avoir" & tag="V\..S.*"]
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]	<s/> containing [tag="V\..M.*"]
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]	[tag="V.I.P.*"]
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]	[tag="V.IF.*"]
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]	[lemma="être" & tag="V\..*C.*"]
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]	[word=="[A-ZÉÀÂÈÔÛÎÏÆŒÇ]"]
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]	[word="[a-zàâäéèêëîïôöùûüÿçœæ]+" & tag!="F.*"]
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]	[word="([A-Z]\\.){2,}"] | [word="^[A-Z]{2,}$"]
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]	[word="[0-9]{4}" & tag="Z..*"]
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]	[tag="Z.*" & word="[0-9]+[\s'][0-9]{3}([\s'][0-9]{3})*"]
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]	([tag="Zp"] | [word="%"] | [lemma="pourcentage"]) within <s/>
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]	<doc genre="social_media"> [word="#.+"]
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]	<doc genre="social_media"> [word="[@].*"]
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]	[word=="#[0-9a-fA-F]{6}"]
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]	[lemma="télé-.*" & !tag="V.*"]
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]	[lemma_lc=".*[-_]?ment$"]
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]	[lemma="être" & tag="V.*"]
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]	[lemma="avoir" & tag="V.*"] [tag="R.*"]{0,2} [lemma="à" & tag="S.*"]
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]	[ws("faire-v", ".*", ".*")]
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]	[lemma="aller" & tag="V.*" & !tag="N.*"]
Adjectif suivi d'un nom	preloaded/frtenten22_fl4	[tag="A.*"][tag="N.*"]	[tag="A.*" & !tag="P.*" & !tag="V.*"] [tag="N.*"]
Nom suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="N.*"][tag="A.*"]	[tag="N.*"] [tag="A.*"]
Déterminant + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="N.*"]	[tag="D....FS"][tag="N..FS"]
