lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	[lemma=".*ment"]
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	[word=";"]
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	[lc="^.{5}$"]
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	[word="trans.*"]
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	[lemma=".*able|.*ible"]
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	[lemma="micro-.*-scope"]
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	[word=".*-.*"]
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	[word="^[0-9]+$"]
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	[word="[[:punct:]]"]
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	[tag="V(B|H|V)[DPZ]"]
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	[tag="NN" | tag="NNS" | tag="NNZ" | tag="NNSZ"]
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	[tag="NP"] | [tag="NPS"]
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	[tag="WDT"]
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	[tag="WRB"]
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	[tag="JJ"]
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	[tag="RB"]
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	[word="and" & tag="CC"]
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	[lemma="a"] | [lemma="the"]
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	[tag="JJR" & word=".*er"]
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	[word=".*est"]
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	[(tag="JJR" | tag="RBR") & lc !~ ".*er$"]
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	[tag="JJS"] & [word="^(?!.*est$).*$"]
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	[tag="NNS" & word=".*ies"]
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	[tag="NNS" & lc=".*s"]
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	[word=".*ed$"] & [tag="V.*"]
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	[lc=".*n't"]
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	[word=".*'"]
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	[tag="$"]
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	([word="("][word="c"][word=")"]) | ([word="("][word="R"][word=")"])
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	[word="\d+\.\d+"]
numbers with percent sign	preloaded/ententen21_tt31	[word="\d+(\.\d+)?"][word="%"]	[tag="CD"] [word="%"]
time like 7:30 pm	preloaded/ententen21_tt31	[word="[1-2]?\d:[0-5]\d"][word="am|pm|AM|PM"]	[word="7:30"] [word="pm"]
sentence starts with a quote	preloaded/ententen21_tt31	<s> [word="\"|“|‘|'"]	<s> [tag="\" or \""]
sentence ends with an exclamation mark	preloaded/ententen21_tt31	[word=="!"] </s>	<s> [word="!"] </s>
tokens that are open parenthesis	preloaded/ententen21_tt31	[word=="("]	[word=="("]
tokens that are close parenthesis	preloaded/ententen21_tt31	[word==")"]	[tag=")"]
bracketed content up to 7 tokens	preloaded/ententen21_tt31	[word=="("][]{0,7}[word==")"]	[ ]{1,7}
quoted spans up to 6 tokens	preloaded/ententen21_tt31	[word="\""][]{0,6}[word="\""]	[tag="\" or \""] [ ]{0,6} [tag="\" or \""]
‘Mr.’ or ‘Ms.’ before a name	preloaded/ententen21_tt31	[word="Mr\.|Ms\.|Mrs\.|Dr\."][tag="NP"]	[word="Mr."][tag="NP"] | [word="Ms."][tag="NP"]
personal pronoun followed by be	preloaded/ententen21_tt31	[tag="PP"][lemma="be"]	[tag="PP"] [word="be"]
proper noun followed by be	preloaded/ententen21_tt31	[tag="NP"][lemma="be"]	[tag="NP|NPS"] [word="be"]
noun preceded by exactly one adjective	preloaded/ententen21_tt31	[tag="J.*"][tag="N.*"]	[tag="J.*"] [tag="N.*"]
noun preceded by two adjectives	preloaded/ententen21_tt31	[tag="J.*"]{2}[tag="N.*"]	[tag="J.*"]{2} [tag="N.*"]
noun preceded by 0–3 adjectives	preloaded/ententen21_tt31	[tag="J.*"]{0,3}[tag="N.*"]	[tag="J.*"]{0,3} [tag="N.*"]
adverb immediately before an adjective	preloaded/ententen21_tt31	[tag="RB.*"][tag="J.*"]	[tag="R.*"] [tag="J.*"]
adjective immediately before a verb	preloaded/ententen21_tt31	[tag="J.*"][tag="V.*"]	[tag="J.*"] [tag="V.*"]
verb immediately before a noun	preloaded/ententen21_tt31	[tag="V.*"][tag="N.*"]	[tag="V.*"] [tag="N.*"]
determiner + adjective + noun	preloaded/ententen21_tt31	[tag="DT"][tag="J.*"][tag="N.*"]	[tag="DT"] [tag="JJ"] [tag="N.*"]
proper-noun bigrams	preloaded/ententen21_tt31	[tag="NP|NPS"]{2}	[tag="NP.*"] [tag="NP.*"]
three-token proper-noun sequences	preloaded/ententen21_tt31	[tag="NP|NPS"]{3}	[tag="NP|NPS|NPZ|NPSZ"] [tag="NP|NPS|NPZ|NPSZ"] [tag="NP|NPS|NPZ|NPSZ"]
noun-noun compounds of length 3	preloaded/ententen21_tt31	[tag="N.*"]{3}	[tag="N.*"] [tag="N.*"] [tag="N.*"]
verb + particle (RP) with <3 gap	preloaded/ententen21_tt31	[tag="V.*"][]{0,2}[tag="RP"]	[tag="V.*"] [ ]{0,2} [tag="RP"]
verb + adverb + particle	preloaded/ententen21_tt31	[tag="V.*"][tag="RB.*"][tag="RP"]	[tag="V.*"] [tag="R.*"] [tag="RP"]
be + not + adjective	preloaded/ententen21_tt31	[lemma="be"][lemma="not"][tag="J.*"]	[lemma="be"] [word="not"] [tag="J.*"]
do-support negation + base verb	preloaded/ententen21_tt31	[lemma="do"][lemma="not"][tag="V[BHV]"]	[lemma="do" & (tag="VV" | tag="VVZ" | tag="VVD")] [word="not" | word="n't"] [tag="VV"]
want to + base verb	preloaded/ententen21_tt31	[lemma="want"][lemma="to"][tag="V[BHV]"]	[lemma="want"] [tag="TO"] [tag="VV"]
need to + base verb	preloaded/ententen21_tt31	[lemma="need"][lemma="to"][tag="V[BHV]"]	[lemma="need"] [word="to"] [tag="VB|VV|VH"]
plan to + base verb	preloaded/ententen21_tt31	[lemma="plan"][lemma="to"][tag="V[BHV]"]	[lemma="plan" & tag="VV"] [word="to"] [tag="V[BV]"]
try to + base verb	preloaded/ententen21_tt31	[lemma="try"][lemma="to"][tag="V[BHV]"]	[lemma="try"] [word="to" & tag="TO"] [tag="VV"]
be going to + base verb	preloaded/ententen21_tt31	[lemma="be"][lemma="going"][lemma="to"][tag="V[BHV]"]	[tag="VB"] [tag="VBG"] [tag="TO"] [tag="VV"]
have to + base verb	preloaded/ententen21_tt31	[lemma="have"][lemma="to"][tag="V[BHV]"]	[tag="VH"] [tag="TO"] [tag="VV"]
used to + base verb	preloaded/ententen21_tt31	[lemma="use"][lemma="to"][tag="V[BHV]"]	[lemma="use" & tag="VVD"] [tag="TO"] [tag="VV"]
would rather + base verb	preloaded/ententen21_tt31	[word=="would"][word=="rather"][tag="V[BHV]"]	[lc="would"] [lc="rather"] [tag="VB|VH|VV"]
had better + base verb	preloaded/ententen21_tt31	[word=="had"][word=="better"][tag="V[BHV]"]	[tag="VHD"] [lc="better"] [tag="VB|VV"]
prefer to + base verb	preloaded/ententen21_tt31	[lemma="prefer"][lemma="to"][tag="V[BHV]"]	[lemma="prefer"] [word="to"] [tag="VV|VB|VH"]
ask NOUN to + base verb	preloaded/ententen21_tt31	[lemma="ask"][tag="N.*"][lemma="to"][tag="V[BHV]"]	[tag="N.*"] [word="to"] [tag="V[BV]"]
