Najdi lemmata končící na -nost	preloaded/cstenten23_mj2	[lemma=".*nost"]	[lemma="končící na"]
Najdi přesně středník	preloaded/cstenten23_mj2	[word==";"]	[word="n't"]
Pětipísmenná malá slova	preloaded/cstenten23_mj2	[word="[[:lower:]]{5}"]	[word="malá|malá|muda||vast"]
Slova začínající na pře-	preloaded/cstenten23_mj2	[lc="pře.*"]	[lemma="slovaza"][tag="N.*"]
Slova končící na -ový nebo -ová	preloaded/cstenten23_mj2	[word=".*ov[ýá]"]	[word=".*on?"&tag="V.*"]
Lemmata začínající mikro- a končící -skop	preloaded/cstenten23_mj2	[lemma="mikro.*skop"]	[lemma="za"][lemma="n't|not"][lemma=".*"]
Slovo začínající s velkým písmenem uvnitř věty, ne však na začátku	preloaded/cstenten23_mj2	[][word="[[:upper:]].+"] within <s/>	[word="?zaz"][word=".*"][word="n't"]
Tokeny s pomlčkou	preloaded/cstenten23_mj2	[word=".*-.*"]	[word="s?poml.*"]
Tokeny složené jen z číslic	preloaded/cstenten23_mj2	[word="\d+"]	[word="slo oyn"]
Tokeny složené jen z interpunkce s více jak jedním znakem	preloaded/cstenten23_mj2	[word="[[:punct:]]{2,}"]	[word="slo schlägt"]
Vlastní jména	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]	[lemma=".*ful" & tag="J.*"]
Zájmena tázací/relativní	preloaded/cstenten23_mj2	[tag="k3.*" & word="kdo|co|který|jenž"]	[lemma=".*tazen"][lemma=".*ch"]
Příslovce zakončená na -ě	preloaded/cstenten23_mj2	[word=".*ě" & tag="k6.*"]	[word="na -ě"]
Přídavná jména v 1. stupni	preloaded/cstenten23_mj2	[tag="k2.*d1.*"]	[tag="J.*&lemma="1st"]
Přídavná jména v 2. stupni	preloaded/cstenten23_mj2	[tag="k2.*d2.*"]	[tag="J.*|V.*" & lemma="1st"]
Přídavná jména v 3. stupni	preloaded/cstenten23_mj2	[tag="k2.*d3.*"]	[tag="J.*|V.*"]
Spojka "a"	preloaded/cstenten23_mj2	[word=="a" & tag="k8.*"]	[word=="a"] [word=="lot"] [word=="of"]
Slova ten, tento, tamhleten	preloaded/cstenten23_mj2	[word="ten|tento|tamhleten"]	[lemma="slova ten?"]
Pluralia v -i	preloaded/cstenten23_mj2	[word=".*i" & tag="k1.*nP.*"]	[lemma=".*i" & tag="NNS"]
Podstatná jména v 6. pádě	preloaded/cstenten23_mj2	[tag="k1.*c6.*"]	[tag="N.*|PP.?"][tag="MD"]?[tag="VH"]?[tag="VHD"]?[tag="VBN"]?[lemma="distress"&tag="V.*"][!tag="DT|CD|PDT|N.*|PP.?"]
Podstatná jména v 7. pádě	preloaded/cstenten23_mj2	[tag="k1.*c7.*"]	[tag="PPZ"][lemma=".*"&tag="J.*"][tag="NNS"]
Tokeny s apostrofem	preloaded/cstenten23_mj2	[word=".*'.*"]	[word="'"] [word="s"] [word="."] {0,2} [tag="N.*"]
Měnové symboly Kč/€/$	preloaded/cstenten23_mj2	[word="Kč|€|\$"]	[word=".*" & tag="N.*"]
Domény končící na .cz	preloaded/cstenten23_mj2	[word=".*\.cz"]	[lemma="domensendemic"][word="na*"]
Hex barvy	preloaded/cstenten23_mj2	[word="#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})"]	[word=".*ical"]
Uživatelská jména začínající @	preloaded/cstenten23_mj2	[word="@\w+"]	[word=".* uživil*"]
Hashtagy	preloaded/cstenten23_mj2	[word="#\w+"]	[word=".*ha"]
URL končící .pdf	preloaded/cstenten23_mj2	[word="https?://.+\.pdf"]	[word="konTranslate" & tag="V.*"]
Symbol © nebo ® jako c nebo r v závorkách	preloaded/cstenten23_mj2	[word=="("][word="[cCrR]"][word==")"]	[word="©"]|[word="."]
Římské číslice I–X	preloaded/cstenten23_mj2	[word="I|II|III|IV|V|VI|VII|VIII|IX|X"]	[tag="I|I'm|am"] [tag="R"] [tag="R"] [tag="R"]
Čísla s desetinnou tečkou	preloaded/cstenten23_mj2	[word="\d+\.\d+"]	[word=".*s"]
Procenta s číslem	preloaded/cstenten23_mj2	[word="\d+(\.\d+)?%"]	[lemma=".*centage" & tag="N.*"]
Název měsíce následovaný rokem	preloaded/cstenten23_mj2	[word="Leden|Únor|Březen|Duben|Květen|Červen|Červenec|Srpen|Září|Říjen|Listopad|Prosinec"][word="\d{4}"]	[lemma="nounsale.*"]
