Najdi lemmata končící na -nost	preloaded/cstenten23_mj2	[lemma=".*nost"]	[lemma=".*nost$"]
Najdi přesně středník	preloaded/cstenten23_mj2	[word==";"]	[word=";" & tag="kI.x;"]
Pětipísmenná malá slova	preloaded/cstenten23_mj2	[word="[[:lower:]]{5}"]	[lc="^[a-z]{5}$"]
Slova začínající na pře-	preloaded/cstenten23_mj2	[lc="pře.*"]	[word="^pre.*"]
Slova končící na -ový nebo -ová	preloaded/cstenten23_mj2	[word=".*ov[ýá]"]	[lemma=".*ový|.*ová"]
Lemmata začínající mikro- a končící -skop	preloaded/cstenten23_mj2	[lemma="mikro.*skop"]	[lemma="^mikro-.*-skop$"]
Slovo začínající s velkým písmenem uvnitř věty, ne však na začátku	preloaded/cstenten23_mj2	[][word="[[:upper:]].+"] within <s/>	[word="^[A-Z][a-z]+$"] within <s/> & !within [word="^[A-Z][a-z]+$"]</s>
Tokeny s pomlčkou	preloaded/cstenten23_mj2	[word=".*-.*"]	[word=".*’.*"]
Tokeny složené jen z číslic	preloaded/cstenten23_mj2	[word="\d+"]	[word="\d+"]
Tokeny složené jen z interpunkce s více jak jedním znakem	preloaded/cstenten23_mj2	[word="[[:punct:]]{2,}"]	[word="[[:punct:]]{2,}"]
Vlastní jména	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]	[tag="k1gR.*"]
Zájmena tázací/relativní	preloaded/cstenten23_mj2	[tag="k3.*" & word="kdo|co|který|jenž"]	[tag="k3xQ.*"]
Příslovce zakončená na -ě	preloaded/cstenten23_mj2	[word=".*ě" & tag="k6.*"]	[tag="k6" & word=".*ě"]
Přídavná jména v 1. stupni	preloaded/cstenten23_mj2	[tag="k2.*d1.*"]	[lemma=".*j"] & [tag="k4.*d1.*"]
Přídavná jména v 2. stupni	preloaded/cstenten23_mj2	[tag="k2.*d2.*"]	[tag="k2.*d2.*"]
Přídavná jména v 3. stupni	preloaded/cstenten23_mj2	[tag="k2.*d3.*"]	[tag="k2.*d3.*"]
Spojka "a"	preloaded/cstenten23_mj2	[word=="a" & tag="k8.*"]	[tag="k8.*"] [lemma="a"]
Slova ten, tento, tamhleten	preloaded/cstenten23_mj2	[word="ten|tento|tamhleten"]	[word="ten"] | [word="tento"] | [word="tamhleten"]
Pluralia v -i	preloaded/cstenten23_mj2	[word=".*i" & tag="k1.*nP.*"]	[lemma="i\$"] & [tag=".*nP.*"]
Podstatná jména v 6. pádě	preloaded/cstenten23_mj2	[tag="k1.*c6.*"]	[tag="k1.*c7.*"]
Podstatná jména v 7. pádě	preloaded/cstenten23_mj2	[tag="k1.*c7.*"]	[tag="k1.*c6.*"]
Tokeny s apostrofem	preloaded/cstenten23_mj2	[word=".*'.*"]	[tag="kI.*x'"]
Měnové symboly Kč/€/$	preloaded/cstenten23_mj2	[word="Kč|€|\$"]	[word="Kč"] | [word="€"] | [word="$"]
Domény končící na .cz	preloaded/cstenten23_mj2	[word=".*\.cz"]	[!lempos="doc.url" & lemma==".*\.cz"]
Hex barvy	preloaded/cstenten23_mj2	[word="#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})"]	([lemma="barv.*"] | [word="barv.*"]) | [word="#[A-Fa-f0-9]{3,6}"]
Uživatelská jména začínající @	preloaded/cstenten23_mj2	[word="@\w+"]	[word="^@.*"]
Hashtagy	preloaded/cstenten23_mj2	[word="#\w+"]	[word=="Hashtagy"]
URL končící .pdf	preloaded/cstenten23_mj2	[word="https?://.+\.pdf"]	<doc> containing [word=".*\\.pdf$"]
Symbol © nebo ® jako c nebo r v závorkách	preloaded/cstenten23_mj2	[word=="("][word="[cCrR]"][word==")"]	[word="(c)"] | [word="(r)"]
Římské číslice I–X	preloaded/cstenten23_mj2	[word="I|II|III|IV|V|VI|VII|VIII|IX|X"]	([lemma="jedna" | word="I"] | [lemma="dva" | word="II"] | [lemma="tři" | word="III"] | [lemma="čtyři" | word="IV"] | [lemma="pět" | word="V"] | [lemma="šest" | word="VI"] | [lemma="sedm" | word="VII"] | [lemma="osm" | word="VIII"] | [lemma="devět" | word="IX"] | [lemma="deset" | word="X"])
Čísla s desetinnou tečkou	preloaded/cstenten23_mj2	[word="\d+\.\d+"]	[word="\d+\.\d+"]
Procenta s číslem	preloaded/cstenten23_mj2	[word="\d+(\.\d+)?%"]	[word="[0-9]+%"] [lemma="procento|procenta"]
Název měsíce následovaný rokem	preloaded/cstenten23_mj2	[word="Leden|Únor|Březen|Duben|Květen|Červen|Červenec|Srpen|Září|Říjen|Listopad|Prosinec"][word="\d{4}"]	[lemma=".*-n"][tag="k4"]
Den v týdnu následovaný čárkou	preloaded/cstenten23_mj2	[word="Pondělí|Úterý|Středa|Čtvrtek|Pátek|Sobota|Neděle"][word==","]	[lemma="pondělí|úterý|středy|čtvrtek|pátek|sobota|neděle"] [word=",,"]
Čas ve formátu HH:MM nebo HH.MM.	preloaded/cstenten23_mj2	[word="[012]?[0-9][:\.][0-5][0-9]"]	[word="\d{2}:\d{2}|\d{2}\.\d{2}"]
Věta začínající uvozovkou	preloaded/cstenten23_mj2	<s> [word="\"|„|‚|“|’|'"]	<s> [tag="kIx\"]
Věta končící vykřičníkem	preloaded/cstenten23_mj2	[word=="!"] </s>	<s/>[tag="kI.x."]
Chci všechny výskyty otevřené závorky	preloaded/cstenten23_mj2	[word=="("]	[word="("]
Výskyty zavírací závorky	preloaded/cstenten23_mj2	[word==")"]	[tag="kI.*x\)"]
Obsah v závorkách do 20 tokenů	preloaded/cstenten23_mj2	[word=="("][]{0,20}[word==")"] within <s/>	<doc> containing <p> containing ( [ ]{1,20} )
Úsek v uvozovkách do 12 tokenů	preloaded/cstenten23_mj2	[word="\"|„|‚|“|’|'"][word!="\"|„|‚|“|’|'"]{0,12}[word="\"|„|‚|“|’|'"] within <s/>	[lemma=""][lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?[lemma=""]?
"Pan/Paní" před jménem	preloaded/cstenten23_mj2	[word="Pan|Paní"][tag="k1.*" & word="[[:upper:]].*"]	([lemma="pan-n"] | [lemma="paní-n"]) [tag="k1.*"]
Zájmeno + být	preloaded/cstenten23_mj2	[tag="k3.*"][lemma="být"]	[tag="k3.*"] [lemma="být"]
Podst. jméno s jedním předcházejícím adj.	preloaded/cstenten23_mj2	[tag="k2.*"][tag="k1.*"]	[tag="k2.*"] [tag="k1.*"]
Podst. jméno se dvěma adjektivy před	preloaded/cstenten23_mj2	[tag="k2.*"]{2}[tag="k1.*"]	[tag="k2.*"][tag="k2.*"][tag="k1.*"]
Podst. jméno s 0-3 adjektivy před	preloaded/cstenten23_mj2	[tag="k2.*"]{0,3}[tag="k1.*"]	[tag="j.*"]{0,3}[tag="n.*"]
Příslovce těsně před adjektivem	preloaded/cstenten23_mj2	[tag="k6.*"][tag="k2.*"]	[lempos=".*-a"][lempos=".*-j"]
Adjektivum těsně před slovesem	preloaded/cstenten23_mj2	[tag="k2.*"][tag="k5.*"]	[lemma=".*"][tag="k5.*"]
Sloveso těsně před podst. jménem	preloaded/cstenten23_mj2	[tag="k5.*"][tag="k1.*"]	[lemma="sloveso"][tag="k1.*c2"]
Zájméno + adjektivum + podstatné jméno	preloaded/cstenten23_mj2	[tag="k3.*"][tag="k2.*"][tag="k1.*"]	[tag="k3.*"][tag="k2.*"][tag="k1.*"]
Dvě vlastní jména za sebou	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]{2}	[tag="k1gR.*"][tag="k1gR.*"]
Tři vlastní jména za sebou	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]{3}	[lempos=".*-p"][lempos=".*-p"][lempos=".*-p"]
Tři po sobě jdoucí podst. jména	preloaded/cstenten23_mj2	[tag="k1.*"]{3}	[tag="k1.*"][tag="k1.*"][tag="k1.*"]
Sloveso + částice s <= 2 tokeny	preloaded/cstenten23_mj2	[tag="k5.*"][]{0,2}[tag="k9.*"]	[lemma="sloveso"] [ ]{0,2} [lemma="s"]
Sloveso + příslovce + částice	preloaded/cstenten23_mj2	[tag="k5.*"][tag="k6.*"][tag="k9.*"]	< s/> containing [lemma="sloveso"] [lemma="příslovce"] [lemma="částice"]
Modál + token + infinitiv	preloaded/cstenten23_mj2	[tag="k6.*tD.*"][][tag="k5.*mF.*"]	[tag="k5.*mS.*"] [ ] [tag="k5.*mS.*"]
"chtít" + "to" + infinitiv	preloaded/cstenten23_mj2	[lemma="chtít"][lemma="to"][tag="k5.*mF.*"]	[lemma="chtít"][word="to"][tag="k5.*mF"]
"potřebovat" + "to" + infinitiv	preloaded/cstenten23_mj2	[lemma="potřebovat"][lemma="to"][tag="k5.*mF.*"]	[lemma="potřebovat"][lemma="to"][tag="k5mS.*"]
"zkusit" + "to" + infinitiv	preloaded/cstenten23_mj2	[lemma="zkusit"][lemma="to"][tag="k5.*mF.*"]	[lemma="zkusit"][lemma="to"][tag="k5mS.*"]
"začít" + přechodník	preloaded/cstenten23_mj2	[lemma="začít"][tag="k5.*(mS|mD).*"]	[lemma="začít"] [tag="k8.*"]
"přestat" + přechodník	preloaded/cstenten23_mj2	[lemma="přestat"][tag="k5.*(mS|mD).*"]	[lemma="přestat"][lemma="přechodník"]
"být" + "schopen" + infinitiv	preloaded/cstenten23_mj2	[lemma="být"][lemma="schopen"][tag="k5.*mF.*"]	[lempos="být-v"][lempos="schopen-j"][word=".*t$|nout$"]
"mohl by" + infinitiv	preloaded/cstenten23_mj2	[word=="mohl"][word=="by"][tag="k5.*mF.*"]	[lemma="mohl"][lemma="by"][lemma=".*t"]
"raději by" + infinitiv	preloaded/cstenten23_mj2	[word=="raději"][word=="by"][tag="k5.*mF.*"]	[lemma="raději"] [lemma="by"] [tag="k5mS.*"]
"nejlépe" + infinitiv	preloaded/cstenten23_mj2	[word=="nejlépe"][tag="k5.*mF.*"]	[lemma="nejlépe"][lempos="a-"][tag="k5mS.*"]
k2 + k1 + k5	preloaded/cstenten23_mj2	[tag="k2.*"][tag="k1.*"][tag="k5.*"]	[tag="k2.*"][tag="k1.*"][tag="k5.*"]
„pokusit se“ + infinitiv	preloaded/cstenten23_mj2	[lemma="pokusit"][lemma="se"][tag="k5.*mF.*"]	[lemma="pokusit-se-v"][tag="k5.*mF.*"]
„snažit se“ + infinitiv	preloaded/cstenten23_mj2	[lemma="snažit"][lemma="se"][tag="k5.*mF.*"]	[lemma="snažit"][lemma="se"][tag="k5mS.*"]
"být" do 1 tokenu od slovesa	preloaded/cstenten23_mj2	(meet [lemma="být"] [tag="k5.*"] -1 1)	(meet [lemma="být" & tag="k5.*"] [tag="k5.*"] -1 1)
Sloveso do 3 tokenů od "riziko"	preloaded/cstenten23_mj2	(meet [tag="k5.*"] [lemma="riziko"] -3 3)	(meet [lemma="sloveso"] [lemma="riziko"] -3 3)
Adjektivum do 2 tokenů od "zdát"	preloaded/cstenten23_mj2	(meet [tag="k2.*"] [lemma="zdát"] -2 2)	(meet [lemma="zdát"] [tag="k2.*"] -2 2)
Podstatné jméno do 5 tokenů od "růst"	preloaded/cstenten23_mj2	(meet [tag="k1.*"] [lemma="růst"] -5 5)	(meet [tag="k1.*"] [lemma="růst"] -5 5)
Sloveso nebo přídavné jméno poblíž "být"	preloaded/cstenten23_mj2	(union (meet [tag="k5.*"] [lemma="být"] -3 3) (meet [tag="k2.*"] [lemma="být"] -3 3))	(meet [lemma="být"] [tag="k3|k2"] -3 3)
"tak (přídavné jméno) jako" ve větě	preloaded/cstenten23_mj2	[word="tak"][tag="k2.*"][word="jako"] within <s/>	[lemma="tak"] within [tag="k2d2.*"] within <s/>
„tak <přídavné jméno> že“ do 3 tokenů	preloaded/cstenten23_mj2	[word="tak"][tag="k2.*"][word="že"] within []{6}	[lemma="tak"][tag="k4.*"]{0,1}[lemma="že"]
"příliš [přídavné jméno] na to" + infinitiv	preloaded/cstenten23_mj2	[word="příliš"][tag="k2.*"][word="na"][word="to"][tag="k5.*mF.*"]	[lempos="příliš-a"] [lempos=".*-j"] [lempos="na-p"] [lempos="to-d"] [lempos=".*-v"]
"dost <podstatné jméno>"	preloaded/cstenten23_mj2	[word="dost"][tag="k1.*"]	[lemma="dost"] [tag="k1.*"]
"velmi <přídavné jméno>"	preloaded/cstenten23_mj2	[word="velmi"][tag="k2.*"]	[lemma="velmi"][tag="k2.*"]
"více/méně [přídavné jméno]"	preloaded/cstenten23_mj2	[word="více|méně"][tag="k2.*"]	(union(meet [lemma="více"] [tag="k3.*"] 0 1)(meet [lemma="méně"] [tag="k3.*"] 0 1))
"více (podstatné jméno) než (podstatné jméno)"	preloaded/cstenten23_mj2	[word="více"][tag="k1.*"][word="než"][tag="k1.*"]	[lempos="více-n"] []{0,5} [lempos="než-n"]
"nejvíce\nejméně (sloveso)"	preloaded/cstenten23_mj2	[word="nejvíce|nejméně"][tag="k5.*"]	[lemma="nejv?íce|nejm?éně"][tag="k5.*"]
Frazém "co nejdříve"	preloaded/cstenten23_mj2	[word="co"][word="nejdříve"]	([lemma="co"][lemma="nejdříve"]) | ([lemma="nejdříve"][lemma="co"])
Frazém "tak jako tak"	preloaded/cstenten23_mj2	[word="tak"][word="jako"][word="tak"]	[lemma="tak"] [lemma="jako"] [lemma="tak"]
