Tous les mots.	preloaded/ententen21_tt31	[]
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]
Adjectif suivi d'un nom	preloaded/frtenten22_fl4	[tag="A.*"][tag="N.*"]
Nom suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="N.*"][tag="A.*"]
Déterminant + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="N.*"]
Déterminant + adjectif + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="A.*"][tag="N.*"]
Préposition + déterminant + nom	preloaded/frtenten22_fl4	[tag="SP.*"][tag="D.*"][tag="N.*"]
Verbe + pronom clitique	preloaded/frtenten22_fl4	[tag="V.*"][tag="P.*"]
Négation avec ne et pas	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"][lemma!="pas" | tag!="RN"]{0,3}[lemma="pas" & tag="RN"] within <s/>
Coordination nominale	preloaded/frtenten22_fl4	[tag="N.*"][word="et"][tag="N.*"]
Séquence de trois noms	preloaded/frtenten22_fl4	[tag="N.*"]{3}
Adverbe suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="R.*"][tag="A.*"]
Deux adjectifs consécutifs	preloaded/frtenten22_fl4	[tag="A.*"][tag="A.*"]
Phrases finissant par un point d'interrogation	preloaded/frtenten22_fl4	[word=="?"] </s>
Phrases finissant par un point d'exclamation	preloaded/frtenten22_fl4	[word=="!"] </s>
Phrases d'un seul mot	preloaded/frtenten22_fl4	<s> [] [tag="F[^z].*"] </s>
Première position de la phrase	preloaded/frtenten22_fl4	<s> []
Phrases sans verbe	preloaded/frtenten22_fl4	<s/> !containing [tag="V.*"]
Phrases contenant un nombre	preloaded/frtenten22_fl4	<s/> containing [tag="Z.*"]
Documents du domaine gouv.fr	preloaded/frtenten22_fl4	<doc urldomain=".*\.gouv\.fr" />
Documents en .fr	preloaded/frtenten22_fl4	<doc tld="fr" />
Titres contenant rapport	preloaded/frtenten22_fl4	<doc title=".*rapport.*" />
Articles de presse	preloaded/frtenten22_fl4	<doc genre="news" />
Documents publiés en 2020	preloaded/frtenten22_fl4	<doc crawl_year="2020" />
Paragraphes contenant un nombre	preloaded/frtenten22_fl4	<p/> containing [tag="Z.*"]
Paragraphes sans nom propre	preloaded/frtenten22_fl4	<p/> !containing [tag="NP.*"]
Phrases contenant des guillemets	preloaded/frtenten22_fl4	<s/> containing [tag="Fra|Frc|Fe"]
Nom à +-3 tokens d'un verbe	preloaded/frtenten22_fl4	(meet [tag="N.*"] [tag="V.*"] -3 3)
Union de noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))
Noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))
Répétition immédiate du même mot	preloaded/frtenten22_fl4	1:[] 2:[] & 1.word = 2.word
Répétition immédiate du même lemma	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma
Deux tokens consécutifs avec même lemme	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma
Deux tokens adjacents avec même tag	preloaded/frtenten22_fl4	1:[] 2:[] & 1.tag = 2.tag
