lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	[lemma=".*ment"]
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	[word==";"]
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	[word="[a-z]{5}"]
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	[lemma="trans.*"]
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	[word=".*(able|ible)$"]
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	[lemma="micro.*scope"]
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	[word=".*-.*"]
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	[word="[0-9]+"]
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	[tag=="SENT" | tag=="\"" | tag=="," | tag==":" | tag=="(" | tag==")" | tag=="$" | tag=="#"]
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	[tag="(VB|VBD|VBP|VBZ|VH|VHD|VHP|VHZ|VV|VVD|VVP|VVZ|MD)"]
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	[tag="NN.*"]
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	[tag="NP.*"]
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	[tag="WDT"]
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	[tag="WRB"]
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	[tag="JJ"]
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	[tag="RB"]
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	[lemma="and" & tag="CC"]
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	[lemma="a|the" & tag="DT"]
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	[tag="JJR" & word=".*er"]
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	[word=".*est" & (tag="JJS" | tag="RBS")]
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	[(tag="JJR" | tag="RBR") & word!=".*er"]
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	[tag="JJS|RBS" & word!=".*est"]
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	[word=".*ies" & tag="NNS"]
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	[tag="NNS" & word=".*s"]
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	[tag="V.*" & word=".*ed"]
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	[lc=".*n't"]
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	[word=".*'.*"]
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	[tag="$"]
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	[word="("][word="[A-Za-z]"][word=")"]
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	[tag="CD" & word="[0-9]+\.[0-9]+"]
numbers with percent sign	preloaded/ententen21_tt31	[word="\d+(\.\d+)?"][word="%"]	([tag="CD"][word="%"]) | ([word="[0-9]+%"])
time like 7:30 pm	preloaded/ententen21_tt31	[word="[1-2]?\d:[0-5]\d"][word="am|pm|AM|PM"]	[word="([0-9]|[0-9][0-9]):[0-9]{2}"] [lc="(a|p)\.?m\.?"]?
sentence starts with a quote	preloaded/ententen21_tt31	<s> [word="\"|“|‘|'"]	<s> [tag="\""]
sentence ends with an exclamation mark	preloaded/ententen21_tt31	[word=="!"] </s>	<s/> containing [word="!"]
tokens that are open parenthesis	preloaded/ententen21_tt31	[word=="("]	[word="\("]
tokens that are close parenthesis	preloaded/ententen21_tt31	[word==")"]	[tag=")"]
bracketed content up to 7 tokens	preloaded/ententen21_tt31	[word=="("][]{0,7}[word==")"]	[tag="("] []{0,7} [tag=")"]
quoted spans up to 6 tokens	preloaded/ententen21_tt31	[word="\""][]{0,6}[word="\""]	[tag="\""] [tag!="\""]{1,6} [tag="\""]
‘Mr.’ or ‘Ms.’ before a name	preloaded/ententen21_tt31	[word="Mr\.|Ms\.|Mrs\.|Dr\."][tag="NP"]	[word="M[rs]\.?"] [tag="NP"]
personal pronoun followed by be	preloaded/ententen21_tt31	[tag="PP"][lemma="be"]	[tag="PP"] [lemma="be" & tag="VB.*"]
proper noun followed by be	preloaded/ententen21_tt31	[tag="NP"][lemma="be"]	[tag="NP.*"] [lemma="be" & tag="VB.*"]
noun preceded by exactly one adjective	preloaded/ententen21_tt31	[tag="J.*"][tag="N.*"]	[tag="J.*"][tag="N.*"]
noun preceded by two adjectives	preloaded/ententen21_tt31	[tag="J.*"]{2}[tag="N.*"]	[tag="JJ"][tag="JJ"][tag="N.*"]
noun preceded by 0–3 adjectives	preloaded/ententen21_tt31	[tag="J.*"]{0,3}[tag="N.*"]	[tag="J.*"]{0,3} [tag="N.*"]
adverb immediately before an adjective	preloaded/ententen21_tt31	[tag="RB.*"][tag="J.*"]	[tag="RB.?"][tag="J.*"]
adjective immediately before a verb	preloaded/ententen21_tt31	[tag="J.*"][tag="V.*"]	[tag="J.*"][tag="V.*"]
verb immediately before a noun	preloaded/ententen21_tt31	[tag="V.*"][tag="N.*"]	[tag="(V.*|MD)"][tag="N.*"]
determiner + adjective + noun	preloaded/ententen21_tt31	[tag="DT"][tag="J.*"][tag="N.*"]	[tag="DT"][tag="J.*"][tag="N.*"]
proper-noun bigrams	preloaded/ententen21_tt31	[tag="NP|NPS"]{2}	[tag="NP.*"][tag="NP.*"]
three-token proper-noun sequences	preloaded/ententen21_tt31	[tag="NP|NPS"]{3}	[tag="NP.*"]{3}
noun-noun compounds of length 3	preloaded/ententen21_tt31	[tag="N.*"]{3}	[tag="N.*"]{3}
verb + particle (RP) with <3 gap	preloaded/ententen21_tt31	[tag="V.*"][]{0,2}[tag="RP"]	[tag="V.*"] []{0,2} [tag="RP"]
verb + adverb + particle	preloaded/ententen21_tt31	[tag="V.*"][tag="RB.*"][tag="RP"]	[tag="V.*"][tag="RB.?"][tag="RP"]
be + not + adjective	preloaded/ententen21_tt31	[lemma="be"][lemma="not"][tag="J.*"]	[lemma="be" & tag="VB.*"][lemma="not"][tag="J.*"]
do-support negation + base verb	preloaded/ententen21_tt31	[lemma="do"][lemma="not"][tag="V[BHV]"]	(  ( [lemma_lc="do" & tag="V.*"] [lc="not" | lc="n't"] )  |  ( [lemma_lc="do" & tag="V.*" & word=".*n't"] ))[tag="VV" & lemma!="do"]
want to + base verb	preloaded/ententen21_tt31	[lemma="want"][lemma="to"][tag="V[BHV]"]	[lemma="want" & tag="VV.*"] [tag="TO"] [tag="VB" | tag="VH" | tag="VV"]
need to + base verb	preloaded/ententen21_tt31	[lemma="need"][lemma="to"][tag="V[BHV]"]	[lemma="need" & tag="V.*"] [word="to" & tag="TO"] [tag="V[BHV]"]
plan to + base verb	preloaded/ententen21_tt31	[lemma="plan"][lemma="to"][tag="V[BHV]"]	[lemma="plan" & tag="VV.*"] [tag="TO"] [tag="VV" | tag="VB" | tag="VH"]
try to + base verb	preloaded/ententen21_tt31	[lemma="try"][lemma="to"][tag="V[BHV]"]	[lemma="try" & tag="VV.*"] [tag="TO"] [tag="VV"]
be going to + base verb	preloaded/ententen21_tt31	[lemma="be"][lemma="going"][lemma="to"][tag="V[BHV]"]	[lemma="be" & tag="VB.*"][lemma="go" & tag="VVG"][word="to" & tag="TO"][tag="VV"]
have to + base verb	preloaded/ententen21_tt31	[lemma="have"][lemma="to"][tag="V[BHV]"]	[lemma="have" & tag="VH.*"] [word="to" & tag="TO"] [tag="V(B|H|V)"]
used to + base verb	preloaded/ententen21_tt31	[lemma="use"][lemma="to"][tag="V[BHV]"]	[lc="used"] [tag="TO"] [tag="VV"]
would rather + base verb	preloaded/ententen21_tt31	[word=="would"][word=="rather"][tag="V[BHV]"]	[lemma="would" & tag="MD"] [lemma="rather" & tag="RB"] [lemma="not"]? [tag="V[BHV]"]
had better + base verb	preloaded/ententen21_tt31	[word=="had"][word=="better"][tag="V[BHV]"]	[lemma="have" & tag="VHD"] [lc="better"] [tag="V(B|H|V)$"]
