Tous les mots.	preloaded/ententen21_tt31	[]	single token,multilang
Trouver n'importe quel token	preloaded/frtenten22_fl4	[]	single token
Tous les noms communs	preloaded/frtenten22_fl4	[tag="NC.*"]	single token
Tous les noms propres	preloaded/frtenten22_fl4	[tag="NP.*"]	single token
Noms féminins singuliers	preloaded/frtenten22_fl4	[tag="N.FS.*"]	single token
Noms masculins pluriels	preloaded/frtenten22_fl4	[tag="N.MP.*"]	single token
Adjectifs qualificatifs	preloaded/frtenten22_fl4	[tag="AQ.*"]	single token
Adjectifs ordinaux	preloaded/frtenten22_fl4	[tag="AO.*"]	single token
Déterminants articles	preloaded/frtenten22_fl4	[tag="DA.*"]	single token
Pronoms personnels	preloaded/frtenten22_fl4	[tag="PP.*"]	single token
Pronoms possessifs	preloaded/frtenten22_fl4	[tag="PX.*"]	single token
Adverbes généraux	preloaded/frtenten22_fl4	[tag="RG"]	single token
Adverbes négatifs	preloaded/frtenten22_fl4	[tag="RN"]	single token
Prépositions	preloaded/frtenten22_fl4	[tag="SP.*"]	single token
Conjonctions de coordination	preloaded/frtenten22_fl4	[tag="CC.*"]	single token
Conjonctions de subordination	preloaded/frtenten22_fl4	[tag="CS.*"]	single token
Interjections	preloaded/frtenten22_fl4	[tag="I.*"]	single token
Nombres	preloaded/frtenten22_fl4	[tag="Z.*"]	single token
Ponctuation point	preloaded/frtenten22_fl4	[tag="Fp"]	single token
Ponctuation virgule	preloaded/frtenten22_fl4	[tag="Fc"]	single token
Ponctuation point d'interrogation	preloaded/frtenten22_fl4	[tag="Fit"]	single token
Verbes a l'infinitif	preloaded/frtenten22_fl4	[tag="V.N.*"]	single token
Verbes au participe	preloaded/frtenten22_fl4	[tag="V.P.*"]	single token
Verbes au gérondif	preloaded/frtenten22_fl4	[tag="V.G.*"]	single token
Verbes à l'indicatif	preloaded/frtenten22_fl4	[tag="V.I.*"]	single token
Verbes à l'indicatif et au present	preloaded/frtenten22_fl4	[tag="V.IP.*"]	single token
Verbes au subjonctif	preloaded/frtenten22_fl4	[tag="V.S.*"]	single token
Verbes à l'impératif	preloaded/frtenten22_fl4	[tag="V.M.*"]	single token
Verbes au présent	preloaded/frtenten22_fl4	[tag="V..P.*"]	single token
Verbes au futur	preloaded/frtenten22_fl4	[tag="V..F.*"]	single token
Verbes au conditionnel	preloaded/frtenten22_fl4	[tag="V..C.*"]	single token
Mots avec seulement des majuscules	preloaded/frtenten22_fl4	[word="[A-ZÀ-ÖØ-Ý]+"]	multi token
Mots avec seulement des minuscules	preloaded/frtenten22_fl4	[word="[a-zà-öø-ý]+"]	multi token
Acronymes de 2+ lettres	preloaded/frtenten22_fl4	[word="[A-Z]{2,}"]	multi token
Nombres à quatre chiffres	preloaded/frtenten22_fl4	[word="\d{4}"]	single token
Nombres avec séparateurs de milliers	preloaded/frtenten22_fl4	[word="\d{1,3}(,\d{3})+"]	single token
Pourcentages	preloaded/frtenten22_fl4	[word="\d+([, ]?\d+|\.\d+)?%"]	multi token
Hashtags	preloaded/frtenten22_fl4	[word="#\w+"]	single token
Mentions starting with an arobase	preloaded/frtenten22_fl4	[word="@\w+"]	single token
Couleurs hex	preloaded/frtenten22_fl4	[word="^#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})$"]	multi token
Lemmes commençant par télé-	preloaded/frtenten22_fl4	[lemma="télé.*"]	single token
Lemmes finissant par -ment	preloaded/frtenten22_fl4	[lemma=".*ment"]	single token
Lemma être	preloaded/frtenten22_fl4	[lemma="être"]	single token
Lemma avoir	preloaded/frtenten22_fl4	[lemma="avoir"]	single token
Lemma faire	preloaded/frtenten22_fl4	[lemma="faire"]	single token
Toutes les formes du lemme aller	preloaded/frtenten22_fl4	[lemma="aller"]	single token
Adjectif suivi d'un nom	preloaded/frtenten22_fl4	[tag="A.*"][tag="N.*"]	multi token
Nom suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="N.*"][tag="A.*"]	multi token
Déterminant + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="N.*"]	multi token
Déterminant + adjectif + nom	preloaded/frtenten22_fl4	[tag="D.*"][tag="A.*"][tag="N.*"]	multi token
Préposition + déterminant + nom	preloaded/frtenten22_fl4	[tag="SP.*"][tag="D.*"][tag="N.*"]	multi token
Verbe + pronom clitique	preloaded/frtenten22_fl4	[tag="V.*"][tag="P.*"]	multi token
Négation avec ne et pas	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"][lemma!="pas" | tag!="RN"]{0,3}[lemma="pas" & tag="RN"] within <s/>	multi token,structure
Coordination nominale	preloaded/frtenten22_fl4	[tag="N.*"][word="et"][tag="N.*"]	multi token
Séquence de trois noms	preloaded/frtenten22_fl4	[tag="N.*"]{3}	single token
Adverbe suivi d'un adjectif	preloaded/frtenten22_fl4	[tag="R.*"][tag="A.*"]	multi token
Deux adjectifs consécutifs	preloaded/frtenten22_fl4	[tag="A.*"][tag="A.*"]	multi token
Phrases finissant par un point d'interrogation	preloaded/frtenten22_fl4	[word=="?"] </s>	single token,structure
Phrases finissant par un point d'exclamation	preloaded/frtenten22_fl4	[word=="!"] </s>	single token,structure
Phrases d'un seul mot	preloaded/frtenten22_fl4	<s> [] [tag="F[^z].*"] </s>	multi token,structure
Première position de la phrase	preloaded/frtenten22_fl4	<s> []	single token,structure
Phrases sans verbe	preloaded/frtenten22_fl4	<s/> !containing [tag="V.*"]	single token,structure
Phrases contenant un nombre	preloaded/frtenten22_fl4	<s/> containing [tag="Z.*"]	single token,structure
Documents du domaine gouv.fr	preloaded/frtenten22_fl4	<doc urldomain=".*\.gouv\.fr" />	multi token,structure
Documents en .fr	preloaded/frtenten22_fl4	<doc tld="fr" />	multi token,structure
Titres contenant rapport	preloaded/frtenten22_fl4	<doc title=".*rapport.*" />	multi token,structure
Articles de presse	preloaded/frtenten22_fl4	<doc genre="news" />	multi token,structure
Documents publiés en 2020	preloaded/frtenten22_fl4	<doc crawl_year="2020" />	multi token,structure
Paragraphes contenant un nombre	preloaded/frtenten22_fl4	<p/> containing [tag="Z.*"]	single token,structure
Paragraphes sans nom propre	preloaded/frtenten22_fl4	<p/> !containing [tag="NP.*"]	single token,structure
Phrases contenant des guillemets	preloaded/frtenten22_fl4	<s/> containing [tag="Fra|Frc|Fe"]	single token,structure
Nom à +-3 tokens d'un verbe	preloaded/frtenten22_fl4	(meet [tag="N.*"] [tag="V.*"] -3 3)	multi token,meet
Union de noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))	multi token,meet
Noms près de "être" ou adjectifs près de "être"	preloaded/frtenten22_fl4	(union (meet [tag="N.*"] [lemma="être"] -2 2) (meet [tag="A.*"] [lemma="être"] -2 2))	multi token,meet
Répétition immédiate du même mot	preloaded/frtenten22_fl4	1:[] 2:[] & 1.word = 2.word	multi token,global conditions
Répétition immédiate du même lemma	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	multi token,global conditions
Deux tokens consécutifs avec même lemme	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	multi token,global conditions
Deux tokens adjacents avec même tag	preloaded/frtenten22_fl4	1:[] 2:[] & 1.tag = 2.tag	multi token,global conditions
Deux adjectifs coordonnés avec même lemme	preloaded/frtenten22_fl4	1:[tag="A.*"] [tag="CC.*"] 2:[tag="A.*"] & 1.lemma = 2.lemma	multi token,global conditions
Séquences de points de suspension	preloaded/frtenten22_fl4	[tag="Fs"]	single token
Guillemets français ouvrants	preloaded/frtenten22_fl4	[word="«"]	single token
Guillemets français fermants	preloaded/frtenten22_fl4	[word="»"]	single token
Parenthèses ouvrante et fermante	preloaded/frtenten22_fl4	[word="\(|\)"]	single token
Text au parenthèses ouvrante et fermante	preloaded/frtenten22_fl4	[word=="("] []{0,5} [word==")"]	multi token
Adjectifs féminins pluriels	preloaded/frtenten22_fl4	[tag="A..FP.*"]	single token
Déterminants masculins singuliers	preloaded/frtenten22_fl4	[tag="D..MS.*"]	single token
Pronoms relatifs pluriels	preloaded/frtenten22_fl4	[tag="PR..P.*"]	single token
Pronoms personnels 3e personne	preloaded/frtenten22_fl4	[tag="PP3.*"]	single token
Verbes principaux indicatif présent 3sg	preloaded/frtenten22_fl4	[tag="VMIP3S.*"]	single token
Verbes principaux indicatif présent 3pl	preloaded/frtenten22_fl4	[tag="VMIP3P.*"]	single token
Auxiliaires au passé	preloaded/frtenten22_fl4	[tag="VA.S.*"]	single token
Semi-auxiliaires à l'infinitif	preloaded/frtenten22_fl4	[tag="VSN.*"]	single token
Négation avec « ne » et « jamais »	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"] []{0,3} [lemma="jamais"]	multi token
Négation « ne » et « plus »	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"] []{0,3} [word="plus"]	multi token
Négation « ne » et « rian »	preloaded/frtenten22_fl4	[lemma="ne" & tag="RN"] []{0,3} [word="rian"]	multi token
Phrase commençant par guillemet	preloaded/frtenten22_fl4	<s> [tag="Fe|Fr."]	single token,structure
Phrase contenant des parenthèses	preloaded/frtenten22_fl4	<s/> containing [word="\(|\)"]	single token,structure
Objets du verbe "tester"	preloaded/frtenten22_fl4	[ws("tester-v", "objects of \"%w\"", ".*")]	single token
Modifieurs du nom "livre"	preloaded/frtenten22_fl4	[ws("livre-n", "modifiers of \"%w\"", ".*")]	single token
Sujets du verbe "augmenter"	preloaded/frtenten22_fl4	[ws("augmenter-v", "subjects of \"%w\"", ".*")]	single token
"politique-n" comme objet de "réformer-v"	preloaded/frtenten22_fl4	[ws("réformer-v", ".*object.*", "politique-n")]	single token
10 mots similaires au mot "médecin-n" après "voir"	preloaded/frtenten22_fl4	[lemma="voir"] []{0,3} ~10"médecin-n"	multi token,thesaurus
15 mots similaires au mot "énergie-n" près de "renouvelable"	preloaded/frtenten22_fl4	[lemma="renouvelable"] []{0,3} ~15"énergie-n"	multi token,thesaurus
Métaux à +-5 de mots similaires au mot « corrosion ».	preloaded/frtenten22_fl4	(meet ~"métal-n" [lemma="corrosion"] -5 5)	multi token,thesaurus,meet
Nombre suivi du symbole %	preloaded/frtenten22_fl4	[tag="Z.*"][word="%"]	multi token
Un nombre suivi du symbole % sans espace	preloaded/frtenten22_fl4	[tag="Z.*"][word="%"] !containing <g/>	multi token,structure
Un nombre suivi du symbole % avec espace	preloaded/frtenten22_fl4	[tag="Z.*"][word="%"] containing <g/>	multi token,structure
Nom ou pronom avant verbe à 1–3 tokens	preloaded/frtenten22_fl4	(meet [tag="N.*|P.*"] [tag="V.*"] 1 3)	multi token,meet
Adjectif précédé d'un adverbe	preloaded/frtenten22_fl4	[tag="R.*"][tag="A.*"]	multi token
Nom précédé de deux adjectifs	preloaded/frtenten22_fl4	[tag="A.*"]{2}[tag="N.*"]	multi token
Le pronom "qui" pour remplacer le sujet d'une phrase	preloaded/frtenten22_fl4	[tag="N.*"][word="qui"]	multi token
Paragraphes contenant un point-virgule	preloaded/frtenten22_fl4	<p/> containing [tag="Fx"]	single token,structure
Phrases ne contenant pas de virgule	preloaded/frtenten22_fl4	<s/> !containing [tag="Fc"]	single token,structure
Titres ne contenant pas de majuscules	preloaded/frtenten22_fl4	[] within <doc title!=".*[A-ZÀ-ÖØ-Ý].*" />	multi token,structure
Documents .edu	preloaded/frtenten22_fl4	<doc tld="edu" />	multi token,structure
Documents dont l'URL contient /blog/	preloaded/frtenten22_fl4	<doc url=".*\/blog\/.*" />	multi token,structure
Bigramme répété à distance <6 in one sentence	preloaded/frtenten22_fl4	1:[] 2:[] []{0,5} 3:[] 4:[] & 1.word=3.word & 2.word=4.word within <s/>	multi token,structure,global conditions
Guillemets sans nom à l'intérieur. La phrase est <=8.	preloaded/frtenten22_fl4	([tag="Fe|Fra"] [tag!="Fe|Frc"]{1,8} [tag="Fe|Frc"] !containing [tag="N.*"]) within <s/>	multi token,structure
Verbe à +-2 du nom « risque »	preloaded/frtenten22_fl4	(meet [tag="V.*"] [lemma="risque"] -2 2)	multi token,meet
Adjectif à +-2 du verbe « sembler »	preloaded/frtenten22_fl4	(meet [tag="A.*"] [lemma="sembler"] -2 2)	multi token,meet
Nom dans une phrase qui contient un verbe au futur	preloaded/frtenten22_fl4	[tag="N.*"] within (<s/> containing [tag="V..F.*"])	multi token,structure
Nom dans une phrase qui ne contient pas un verbe au futur	preloaded/frtenten22_fl4	[tag="N.*"] within (<s/> !containing [tag="V..F.*"])	multi token,structure
Documents au sujet "science"	preloaded/frtenten22_fl4	<doc topic="science" />	multi token,structure
Mots avec accent aigu	preloaded/frtenten22_fl4	[word=".*[é].*"]	multi token
Mots avec cédille	preloaded/frtenten22_fl4	[word=".*[ç].*"]	multi token
Mots avec tréma	preloaded/frtenten22_fl4	[word=".*[ëïü].*"]	multi token
Déterminants pluriels	preloaded/frtenten22_fl4	[tag="D...P.*"]	single token
Déterminants singuliers	preloaded/frtenten22_fl4	[tag="D...S.*"]	single token
Pronoms à l'accusatif ou datif	preloaded/frtenten22_fl4	[tag="P....A.*|P....D.*"]	single token
Au moins deux points d'exclamation	preloaded/frtenten22_fl4	[tag="Fa.*"]{2,}	single token
Au moins deux points d'interrogation	preloaded/frtenten22_fl4	[tag="Fi.*"]{2,}	single token
Phrases commençant par "Le"	preloaded/frtenten22_fl4	<s> [word="Le"]	single token,structure
Token à la position 100	preloaded/frtenten22_fl4	[#100]	single token
Token à la position 1	preloaded/frtenten22_fl4	[#1]	single token
Articles définis ou indéfinis	preloaded/frtenten22_fl4	[tag="D[AI].*"]	multi token
Deux adjectifs suivis d'un nom. La fréquence du premier adjectif est supérieure à 100k.	preloaded/frtenten22_fl4	1:[tag="A.*"] [tag="A.*"] [tag="N.*"] & f(1.lemma) > 100000	multi token,global conditions
Répétition du lemme sur deux tokens	preloaded/frtenten22_fl4	1:[] 2:[] & 1.lemma = 2.lemma	multi token,global conditions
