lemmas ending with -ment	preloaded/ententen21_tt31	[lemma=".*ment"]	[lemma=".*ment"]
tokens that are exactly semicolons	preloaded/ententen21_tt31	[word==";"]	[word=";"]
five-letter lowercase words	preloaded/ententen21_tt31	[word="[[:lower:]]{5}"]	[word="[a-z]{5}"]
words starting with trans-	preloaded/ententen21_tt31	[word="trans.*"]	[lemma="^trans-.*"]
words ending with -able or -ible	preloaded/ententen21_tt31	[word=".*[ai]ble"]	[word=".*(able|ible)"]
lemmas starting with micro- and ending with -scope	preloaded/ententen21_tt31	[lemma="micro.*scope"]	[lemma="micro.*scope"]
tokens that contain a hyphen	preloaded/ententen21_tt31	[word=".*-.*"]	[word=".*\-.*"]
tokens that are only digits	preloaded/ententen21_tt31	[word="\d+"]	[word="\\d+"]
tokens that are punctuation	preloaded/ententen21_tt31	[word="[[:punct:]]+"]	[tag="\"|\(|\)|,|\$|#|:|SENT|SYM|RP"]
any finite verb	preloaded/ententen21_tt31	[tag="V[VBH][PZD]"]	[tag="VB"]|[tag="VBD"]|[tag="VBP"]|[tag="VBZ"]|[tag="VH"]|[tag="VHD"]|[tag="VHP"]|[tag="VHZ"]|[tag="VV"]|[tag="VVD"]|[tag="VVP"]|[tag="VVZ"]
any common noun	preloaded/ententen21_tt31	[tag="NN|NNS"]	[tag="NN[S]?"]
any proper noun token	preloaded/ententen21_tt31	[tag="NP|NPS"]	[tag="NP|NPS"]
wh-determiners	preloaded/ententen21_tt31	[tag="WDT"]	[tag="WDT"]
wh-adverbs	preloaded/ententen21_tt31	[tag="WRB"]	[tag="WRB"]
base adjectives	preloaded/ententen21_tt31	[tag="JJ"]	[lemma=".*"][tag="JJ"]
base adverbs	preloaded/ententen21_tt31	[tag="RB"]	[tag="RB"]
coordinating conjunction "and"	preloaded/ententen21_tt31	[lemma=="and" & tag="CC"]	[word="and"]
determiners 'a|an|the'	preloaded/ententen21_tt31	[lemma="a|an|the" & tag="DT"]	[word="a|an|the" & tag="DT"]
comparatives ending by -er	preloaded/ententen21_tt31	[word=".*er" & tag="JJR"]	[tag="JJR"][lemma=".*er$"]
superlatives ending by -est	preloaded/ententen21_tt31	[word=".*est" & tag="JJS"]	[lemma_lc=".*est"]
comparatives not ending by -er	preloaded/ententen21_tt31	[word!=".*er" & tag="JJR"]	[tag="JJR"] & [lemma!=".*er$"]
superlatives not ending by -est	preloaded/ententen21_tt31	[word!=".*est" & tag="JJS"]	[tag="JJS"] & [lemma=".*[^e]st"]
plural nouns ending with -ies	preloaded/ententen21_tt31	[word=".*ies" & tag="NNS"]	[tag="N.*" & lemma=".*ies"]
plural nouns ending with -s	preloaded/ententen21_tt31	[word=".*s" & tag="NNS"]	[lemma=".*s" & tag="NNS"]
verbs ending with -ed (past forms)	preloaded/ententen21_tt31	[word=".*ed" & tag="V[VBH][DN]"]	[tag="VVD" & word=".*ed"]
contractions ending n't	preloaded/ententen21_tt31	</g>[word="n't"]	[tag="N'T"]
tokens with an apostrophe	preloaded/ententen21_tt31	[word=".*'.*"]	[word=".*'"]
currency symbols $ £ €	preloaded/ententen21_tt31	[word="$|£|€"]	[word="[$£€]"]
tokens like (c) or (R)	preloaded/ententen21_tt31	[word=="("][word="(c|C|r|R)"][word==")"]	[ tag="SYM" & ( word=="(c)" | word=="(R)" ) ]
cardinal numbers with decimals	preloaded/ententen21_tt31	[word="\d+\.\d+" & tag="CD"]	[word="\d+\.\d+"]
numbers with percent sign	preloaded/ententen21_tt31	[word="\d+(\.\d+)?"][word="%"]	[word=".*%"]
time like 7:30 pm	preloaded/ententen21_tt31	[word="[1-2]?\d:[0-5]\d"][word="am|pm|AM|PM"]	[word="\d"][word=":"][word="\d+"] [word="(am|pm)"]
sentence starts with a quote	preloaded/ententen21_tt31	<s> [word="\"|“|‘|'"]	<s> [word="[']"]
sentence ends with an exclamation mark	preloaded/ententen21_tt31	[word=="!"] </s>	<s> [ ]* [tag="SENT"] </s>
tokens that are open parenthesis	preloaded/ententen21_tt31	[word=="("]	[tag="("]
tokens that are close parenthesis	preloaded/ententen21_tt31	[word==")"]	[word=")"]
bracketed content up to 7 tokens	preloaded/ententen21_tt31	[word=="("][]{0,7}[word==")"]	[(tag="(") | [tag="["] | [tag="{"] ] [ ]{0,7} [tag=")" | ] | } ]
quoted spans up to 6 tokens	preloaded/ententen21_tt31	[word="\""][]{0,6}[word="\""]	[tag="\""] [ ]{0,4} [tag="\""]
‘Mr.’ or ‘Ms.’ before a name	preloaded/ententen21_tt31	[word="Mr\.|Ms\.|Mrs\.|Dr\."][tag="NP"]	([lemma="Mr." | "Ms."]) [tag="NP.*"]
personal pronoun followed by be	preloaded/ententen21_tt31	[tag="PP"][lemma="be"]	[tag="PP"] [tag="VB.*"]
proper noun followed by be	preloaded/ententen21_tt31	[tag="NP"][lemma="be"]	[tag="NP|NPS"] [tag="VB|VBD|VBG|VBN|VBP|VBZ"]
noun preceded by exactly one adjective	preloaded/ententen21_tt31	[tag="J.*"][tag="N.*"]	([tag="JJ"][tag="NN"]) & !([tag="JJ"][ ]*[tag="NN"])
noun preceded by two adjectives	preloaded/ententen21_tt31	[tag="J.*"]{2}[tag="N.*"]	[tag="JJ.*"] [tag="JJ.*"] [tag="N.*"]
noun preceded by 0–3 adjectives	preloaded/ententen21_tt31	[tag="J.*"]{0,3}[tag="N.*"]	[tag="JJ.*"]{0,3}[tag="N.*"]
adverb immediately before an adjective	preloaded/ententen21_tt31	[tag="RB.*"][tag="J.*"]	[tag="RB.*"][tag="JJ.*"]
adjective immediately before a verb	preloaded/ententen21_tt31	[tag="J.*"][tag="V.*"]	[tag="JJ.*"][tag="V.*"]
verb immediately before a noun	preloaded/ententen21_tt31	[tag="V.*"][tag="N.*"]	[tag="V.*"][tag="N.*"]
determiner + adjective + noun	preloaded/ententen21_tt31	[tag="DT"][tag="J.*"][tag="N.*"]	[tag="DT"][tag="JJ.*"][tag="N.*"]
proper-noun bigrams	preloaded/ententen21_tt31	[tag="NP|NPS"]{2}	[tag="NP.*"][tag="NP.*"]
three-token proper-noun sequences	preloaded/ententen21_tt31	[tag="NP|NPS"]{3}	[tag="NP|NPS"][tag="NP|NPS"][tag="NP|NPS"]
noun-noun compounds of length 3	preloaded/ententen21_tt31	[tag="N.*"]{3}	[tag="N.*"] [tag="N.*"] [tag="N.*"]
verb + particle (RP) with <3 gap	preloaded/ententen21_tt31	[tag="V.*"][]{0,2}[tag="RP"]	[tag="VV.*"] [ ]{0,2} [tag="RP"]
verb + adverb + particle	preloaded/ententen21_tt31	[tag="V.*"][tag="RB.*"][tag="RP"]	[tag="VV.*"][tag="RB.*"][tag="RP"]
be + not + adjective	preloaded/ententen21_tt31	[lemma="be"][lemma="not"][tag="J.*"]	[lemma="be"][lemma="not"][tag="JJ.*"]
do-support negation + base verb	preloaded/ententen21_tt31	[lemma="do"][lemma="not"][tag="V[BHV]"]	[lemma="do"][lemma="not"][tag="VV"]
want to + base verb	preloaded/ententen21_tt31	[lemma="want"][lemma="to"][tag="V[BHV]"]	[lemma="want"][tag="TO"][tag="VV"]
need to + base verb	preloaded/ententen21_tt31	[lemma="need"][lemma="to"][tag="V[BHV]"]	[lemma="need"][tag="TO"][tag="VV"]
plan to + base verb	preloaded/ententen21_tt31	[lemma="plan"][lemma="to"][tag="V[BHV]"]	[lemma="plan"][lemma="to"][lemma=".*"][tag="VV"]
try to + base verb	preloaded/ententen21_tt31	[lemma="try"][lemma="to"][tag="V[BHV]"]	[lemma="try"][tag="TO"][tag="VV"]
be going to + base verb	preloaded/ententen21_tt31	[lemma="be"][lemma="going"][lemma="to"][tag="V[BHV]"]	[lemma="be"] [lemma="go"][tag="VVG"] [lemma="to"][tag="TO"] [lemma=".*"]
have to + base verb	preloaded/ententen21_tt31	[lemma="have"][lemma="to"][tag="V[BHV]"]	<lemma="have"> [lemma="to"] [tag="VV"]
used to + base verb	preloaded/ententen21_tt31	[lemma="use"][lemma="to"][tag="V[BHV]"]	[lemma="used" & tag="VVD"] [lemma="to" & tag="TO"] [lemma="vv"]
would rather + base verb	preloaded/ententen21_tt31	[word=="would"][word=="rather"][tag="V[BHV]"]	[lemma="would"] [word="rather"] [tag="(?i)(VB|VV)"]
had better + base verb	preloaded/ententen21_tt31	[word=="had"][word=="better"][tag="V[BHV]"]	[lemma="had"][lemma="better"][tag="VV"]
prefer to + base verb	preloaded/ententen21_tt31	[lemma="prefer"][lemma="to"][tag="V[BHV]"]	[lemma="prefer"][word="to"][tag="VV"]
